ID,county,PD,TP,P,NP,rate
27,Luzerne,Ashley Boro Police Dept,81,20,61,25%
27,Luzerne,Avoca Boro Police Dept,29,0,29,0%
27,Luzerne,Butler Township Police Dept,85,62,23,73%
27,Luzerne,Courtdale Boro Police Dept,26,15,11,58%
27,Luzerne,Conyngham Boro Police Dept,12,8,4,67%
27,Luzerne,Dallas Boro Police Dept,63,48,15,76%
27,Luzerne,Dallas Township PD,52,35,17,67%
27,Luzerne,"Dept Corrections, Central",23,13,10,57%
27,Luzerne,Dupont Boro Police Dept,59,19,40,32%
27,Luzerne,Duryea Boro Police Dept,71,40,31,56%
27,Luzerne,Edwardsville Boro Police Dept,104,34,70,33%
27,Luzerne,Exeter Boro Police Dept,60,32,28,53%
27,Luzerne,Exeter Township Police Dept,16,7,9,44%
27,Luzerne,Fairview Township Police Dept,32,14,18,44%
27,Luzerne,Forty Fort Pd Police Dept,79,50,29,63%
27,Luzerne,Freeland Boro Police Dept,48,27,21,56%
27,Luzerne,Hanover Township Police Dept,131,92,39,70%
27,Luzerne,Harveys Lake Boro Police Dept,135,84,51,62%
27,Luzerne,Hazleton Area School District,7,1,6,14%
27,Luzerne,Hazleton City Police Dept,314,184,130,59%
27,Luzerne,Hughestown Boro Police Dept,27,17,10,63%
27,Luzerne,Jackson Township Police Dept,149,111,38,74%
27,Luzerne,Jenkins Township Police Dept,47,35,12,74%
27,Luzerne,Kingston Boro Police Dept,267,192,75,72%
27,Luzerne,Kingston Township Police Dept,87,54,33,62%
27,Luzerne,Laflin Boro Police Dept,7,1,6,14%
27,Luzerne,Larksville Boro Police Dept,41,18,23,44%
27,Luzerne,Lehman Township Police Dept,18,13,5,72%
27,Luzerne,Luzerne Boro Police Dept,32,12,20,38%
27,Luzerne,Luzerne County Sheriff,4,0,4,0%
27,Luzerne,"Luzerne County, Detectives",41,31,10,76%
27,Luzerne,"Luzerne County, Prison",59,18,41,31%
27,Luzerne,Luzerne Intermediate unit,3,1,2,33%
27,Luzerne,Nanticoke Dpt Police Dept,167,44,123,26%
27,Luzerne,Nescopeck Boro Police Dept,9,1,8,11%
27,Luzerne,Newport Township Police Dept,134,23,111,17%
27,Luzerne,"Penn State, University PD",38,19,19,50%
27,Luzerne,Pittston City Police Dept,215,101,114,47%
27,Luzerne,Pittston Township Police Dept,165,95,70,58%
27,Luzerne,Plains Township Police Dept,173,95,78,55%
27,Luzerne,Plymouth Boro Police Dept,70,9,61,13%
27,Luzerne,Rice Township Police Dept,11,6,5,55%
27,Luzerne,Salem Township Police Dept,29,15,14,52%
27,Luzerne,Sugar Notch Boro Police Dept,8,4,4,50%
27,Luzerne,Sugarloaf Township Police Dept,70,35,35,50%
27,Luzerne,Swoyersville Boro Police Dept,34,30,4,88%
27,Luzerne,West Hazleton Boro Police Dept,85,35,50,41%
27,Luzerne,West Pittston Boro Police Dept,51,31,20,61%
27,Luzerne,West Wyoming Boro Police Dept,463,279,184,60%
27,Luzerne,White Haven Boro Police Dept,110,86,24,78%
27,Luzerne,Wilkes Barre City Police Dept,1343,809,534,60%
27,Luzerne,Wilkes Barre Township Police Dept,278,218,60,78%
27,Luzerne,Wilkes-Barre Area School District,17,8,9,47%
27,Luzerne,Wright Township Police Dept,38,20,18,53%
27,Luzerne,Wyoming Boro Police Dept,52,26,26,50%
