ID,county,PD,TP,P,NP,rate
25,McKean,Bradford City Police Dept,259,147,112,57%
25,McKean,Bradford Township Police Dept,52,49,3,94%
25,McKean,Foster Township Police Dept,105,87,18,83%
25,McKean,Kane Borough Police Dept,198,170,28,86%
25,McKean,"Mckean County, Detectives",34,21,13,62%
25,McKean,Mt Jewett Boro Police Dept,6,5,1,83%
25,McKean,Otto Eldred Regional Police Dept,19,5,14,26%
25,McKean,Port Allegany Police Dept,15,12,3,80%
25,McKean,Smethport Boro Police Dept,21,6,15,29%
25,McKean,Univ Of Pittsburgh Police Dept,14,12,2,86%
