ID,county,PD,TP,P,NP,rate
21,Montgomery,Abington Police Dept,904,827,77,91%
21,Montgomery,Ambler Boro Police Dept,43,40,3,93%
21,Montgomery,Bridgeport Boro Police Dept,66,56,10,85%
21,Montgomery,Bryn Athyn Police Dept,5,3,2,60%
21,Montgomery,Cheltenham Township Police Dept,445,409,36,92%
21,Montgomery,Collegeville Boro Police Dept,50,38,12,76%
21,Montgomery,Conshohocken Boro Police Dept,117,79,38,68%
21,Montgomery,Douglass Township Police Dept,98,74,24,76%
21,Montgomery,East Norriton Police Dept,193,165,28,85%
21,Montgomery,Franconia Township Police Dept,45,41,4,91%
21,Montgomery,Hatboro Boro Police Dept,80,57,23,71%
21,Montgomery,Hatfield Police Dept,202,191,11,95%
21,Montgomery,Horsham Police Dept,125,114,11,91%
21,Montgomery,Jenkintown Boro Police Dept,55,38,17,69%
21,Montgomery,Lansdale Boro Police Dept,183,171,12,93%
21,Montgomery,Limerick Township Police Dept,284,251,33,88%
21,Montgomery,Lower Frederick Police Dept,16,14,2,88%
21,Montgomery,Lower Gwynedd Police Dept,41,31,10,76%
21,Montgomery,Lower Merion Police Dept,662,584,78,88%
21,Montgomery,Lower Moreland Township Police Dept,233,208,25,89%
21,Montgomery,Lower Pottsgrove Police Dept,174,156,18,90%
21,Montgomery,Lower Providence Police Dept,269,244,25,91%
21,Montgomery,Lower Salford Township Police Dept,91,81,10,89%
21,Montgomery,Marlborough Township Police Dept,27,20,7,74%
21,,Montgomery County District Attorney,1,1,0,100%
21,Montgomery,"Montgomery County, Detectives",163,142,21,87%
21,Montgomery,Montgomery Township Police Dept,571,541,30,95%
21,Montgomery,New Hanover Township Police Dept,60,44,16,73%
21,Montgomery,Norristown Boro Police Dept,1059,912,147,86%
21,Montgomery,North Wales Boro Police Dept,35,29,6,83%
21,Montgomery,Plymouth Township Police Dept,426,361,65,85%
21,Montgomery,Pottstown Police Dept,1058,944,114,89%
21,Montgomery,Reading City Police Dept,4,4,0,100%
21,Montgomery,Rockledge Boro Police Dept,36,30,6,83%
21,Montgomery,Royersford Boro P Police Dept,61,45,16,74%
21,Montgomery,Souderton Boro Police Dept,30,30,0,100%
21,Montgomery,Springfield Township Police Dept,119,88,31,74%
21,Montgomery,Telford Boro Police Dept,25,16,9,64%
21,Montgomery,Towamencin Township Police Dept,161,155,6,96%
21,Montgomery,Upper Dublin Township Police Dept,172,156,16,91%
21,Montgomery,Upper Gwynedd Township Police Dept,85,76,9,89%
21,Montgomery,Upper Merion Township Police Dept,738,660,78,89%
21,Montgomery,Upper Moreland Township Police Dept,482,447,35,93%
21,Montgomery,Upper Perkiomen Police Dept,89,70,19,79%
21,Montgomery,Upper Pottsgrove Police Dept,39,32,7,82%
21,Montgomery,Upper Providence Police Dept,220,146,74,66%
21,Montgomery,West Conshohocken Police Dept,34,24,10,71%
21,Montgomery,West Norriton Township Police Dept,297,275,22,93%
21,Montgomery,West Pottsgrove Police Dept,94,70,24,74%
21,Montgomery,Whitemarsh Township Police Dept,110,94,16,85%
21,Montgomery,Whitpain Township Police Dept,157,134,23,85%
