ID,county,PD,TP,P,NP,rate
18,Northumberland,Coal Township Police Dept,218,196,22,90%
18,Northumberland,Danville Boro Police Dept,1,1,0,100%
18,Northumberland,Kulpmont Boro Police Dept,32,19,13,59%
18,Northumberland,Milton Boro Police Dept,118,104,14,88%
18,Northumberland,Mount Carmel Boro Police Dept,187,156,31,83%
18,Northumberland,Mount Carmel Township Police Dept,103,87,16,84%
18,Northumberland,Northumberland Boro Police Dept,38,18,20,47%
18,Northumberland,"Northumberland County, Detectives",1,0,1,0%
18,Northumberland,Northumberland District Attorney,13,10,3,77%
18,Northumberland,Point Township Police Dept,49,43,6,88%
18,Northumberland,Ralpho Township Police Dept,24,17,7,71%
18,Northumberland,Riverside Boro Police Dept,18,13,5,72%
18,Northumberland,Shamokin Police Dept,239,72,167,30%
18,Northumberland,Sunbury City Police Dept,207,122,85,59%
18,Northumberland,Watsontown Police Dept,46,42,4,91%
18,Northumberland,Zerbe Township Police Dept,6,3,3,50%
