ID,county,PD,TP,P,NP,rate
13,Schuylkill,Ashland Boro Police Dept,109,72,37,66%
13,Schuylkill,Branch Township Police Dept,6,5,1,83%
13,Schuylkill,Butler Township Police Dept,38,30,8,79%
13,Schuylkill,Cass Township Police Dept,15,9,6,60%
13,Schuylkill,Coaldale Police Dept,71,45,26,63%
13,Schuylkill,East Union Township Police Dept,9,3,6,33%
13,Schuylkill,Foster Township Police Department,4,4,0,100%
13,Schuylkill,Frackville Boro Police Dept,133,89,44,67%
13,Schuylkill,Girardville Police Dept,31,23,8,74%
13,Schuylkill,Hegins Township Police Dept,13,8,5,62%
13,Schuylkill,Kline Township Police Dept,19,8,11,42%
13,Schuylkill,Mahanoy City Police Dept,167,85,82,51%
13,Schuylkill,Mahanoy Township Police Dept,18,11,7,61%
13,Schuylkill,Mcadoo Police Dept,78,50,28,64%
13,Schuylkill,Minersville Police Dept,117,78,39,67%
13,Schuylkill,New Castle Township Police Dept,3,3,0,100%
13,Schuylkill,New Philadelphia Police Dept,3,0,3,0%
13,Schuylkill,Orwigsburg Police Dept,23,17,6,74%
13,Schuylkill,"Penn State, University PD",6,2,4,33%
13,Schuylkill,Pine Grove Boro Police Dept,14,9,5,64%
13,Schuylkill,Port Carbon Police Dept,300,171,129,57%
13,Schuylkill,Pottsville Police Dept,308,182,126,59%
13,Schuylkill,Reilly Township Police Dept,3,3,0,100%
13,Schuylkill,Rush Township Police Dept,201,128,73,64%
13,Schuylkill,Ryan Township Police Dept,7,3,4,43%
13,Schuylkill,Schuylkill County District Attorney,28,22,6,79%
13,Schuylkill,Schuylkill County Sheriff,2,2,0,100%
13,Schuylkill,Schuylkill Haven Police Dept,229,152,77,66%
13,Schuylkill,Shenandoah Police Dept,349,183,166,52%
13,Schuylkill,St Clair Police Dept,83,47,36,57%
,Schuylkill,Tamaqua Police Dept,234,124,110,53%
,Schuylkill,Tower City Police Dept,24,16,8,67%
,Schuylkill,Tremont Police Dept,5,5,0,100%
,Schuylkill,Walker Township Police Dept,1,1,0,100%
,Schuylkill,West Mahanoy Township Police Dept,46,23,23,50%
,Schuylkill,West Penn Township Police Dept,24,11,13,46%
