ID,county,PD,TP,P,NP,rate
26,Lycoming,Duboistown Boro Police Dept,14,14,0,100%
26,Lycoming,Hughesville Boro Police Dept,22,22,0,100%
26,Lycoming,Lycoming County Sheriff,16,16,0,100%
26,Lycoming,"Lycoming County, Detectives",69,60,9,87%
26,Lycoming,Montgomery Boro Police Dept,18,17,1,94%
26,Lycoming,Montoursville Boro Police Dept,157,147,10,94%
26,Lycoming,Muncy Boro Police Dept,34,33,1,97%
26,Lycoming,Muncy Township Police Dept,79,76,3,96%
26,Lycoming,Old Lycoming Township Police Dept,152,142,10,93%
26,Lycoming,"Penna Coll Of Tech, College PD",66,64,2,97%
26,Lycoming,S Williamsport Police Dept,57,54,3,95%
26,Lycoming,Tiadaghton Valley,93,84,9,90%
26,Lycoming,Williamsport City Police Dept,809,658,151,81%,,,,,,
62,Adams,Adams County District Attorney,49,48,1,98%
,Adams,Adams County Sheriff,6,6,0,100%
,Adams,Biglerville Boro Police Dept,9,9,0,100%
,Adams,Bonneauville Boro Police Dept,5,5,0,100%
,Adams,Carroll Valley Police Dept,53,50,3,94%
,Adams,Conewago Township Police Dept,92,87,5,95%
,Adams,Cumberland Township Police Dept,128,127,1,99%
,Adams,East Berlin Boro Police Dept,2,2,0,100%
,Adams,Eastern Adams Regl Police Dept,101,98,3,97%
,Adams,Gettysburg Boro Police Dept,176,169,7,96%
,Adams,Latimore Township Police Dept,4,4,0,100%
,Adams,Liberty Township Police Dept,1,1,0,100%
,Adams,Littlestown Boro Police Dept,80,77,3,96%
,Adams,Mcsherrystown Police Dept,20,19,1,95%
,Adams,Reading Township Police Dept,19,19,0,100%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
