ID,county,PD,TP,P,NP,rate
5,Lancaster,Akron Boro Police Dept,28,22,6,79%
5,Lancaster,Columbia Boro Police Dept,118,61,57,52%
5,Lancaster,East Cocalico Township Police Dept,205,141,64,69%
5,Lancaster,East Earl Township Police Dept,106,92,14,87%
5,Lancaster,East Hempfield Township Police Dept,163,143,20,88%
5,Lancaster,East Lampeter Township Police Dept,403,347,56,86%
5,Lancaster,Elizabethtown Boro Police Dept,335,292,43,87%
5,Lancaster,Ephrata Police Dept,217,163,54,75%
5,Lancaster,Lancaster County Sheriff,167,108,59,65%
5,Lancaster,"Lancaster County, Detectives",33,6,27,18%
5,Lancaster,"Lancaster County, District Attorney",66,26,40,39%
5,Lancaster,Lancaster Police Dept,948,819,129,86%
5,Lancaster,Lititz Boro Police Dept,949,800,149,84%
5,Lancaster,Manheim Boro Police Dept,138,94,44,68%
5,Lancaster,Manheim Township Police Dept,624,497,127,80%
5,Lancaster,Manor Township Police Dept,578,501,77,87%
6,Juniata,Juniata County District Attorney,1,0,1,0%
6,Juniata,Juniata County Sheriff,5,2,3,40%
7,Venango,Emlenton Police Dept,16,14,2,88%
7,Venango,Franklin Police Dept,155,151,4,97%
7,Venango,Oil City Police Dept,175,173,2,99%
7,Venango,Polk Boro Police Dept,20,19,1,95%
7,Venango,Sugarcreek Boro Police Dept,77,73,4,95%
7,Venango,Venango County Sheriff,7,7,0,100%
8,Union,"Bucknell, University",4,4,0,100%
8,Union,Buffalo Valley Regional Police Department,101,75,26,74%
8,Union,Mifflinburg Boro Police Dept,35,30,5,86%
8,Union,New Berlin Police Dept,17,13,4,76%
8,Union,Union County Sheriff,8,7,1,88%
8,Union,"Union County, Detectives",7,4,3,57%
9,Tioga,Blossburg Boro Police Dept,34,23,11,68%
9,Tioga,Elkland Boro Police Dept,19,10,9,53%
9,Tioga,Gaines Township Police Dept,3,2,1,67%
9,Tioga,Lawrence Township Police Dept,9,0,9,0%
9,Tioga,Lawrenceville Boro Police Dept,9,0,9,0%
9,Tioga,Mansfield Boro Police Dept,42,25,17,60%
9,Tioga,"Mansfield, University PD",8,8,0,100%
9,Tioga,Osceola Township Police Dept,4,1,3,25%
9,Tioga,Tioga Boro Police Dept,4,1,3,25%
9,Tioga,"Tioga County, Detectives",4,3,1,75%
9,Tioga,Wellsboro Boro Police Dept,127,118,9,93%
9,Tioga,Westfield Boro Police Dept,37,18,19,49%
10,Susquehanna,Forest City Boro Police Dept,44,26,18,59%
10,Susquehanna,Great Bend Police Department,14,12,2,86%
10,Susquehanna,Hop Bottom Boro Police Dept,6,1,5,17%
10,Susquehanna,Lanesboro Boro Police Dept,12,5,7,42%
10,Susquehanna,Montrose Boro Police Dept,26,6,20,23%
10,Susquehanna,Oakland Boro Police Dept,6,3,3,50%
10,Susquehanna,Silver Lake Township Police Dept,10,5,5,50%
10,Susquehanna,"Susquehanna County, Detectives",106,98,8,92%
11,Somerset,Berlin Boro Police Dept,21,18,3,86%
11,Somerset,Boswell Boro Police Dept,5,5,0,100%
11,Somerset,Conemaugh Township Police Dept,62,47,15,76%
11,Somerset,Confluence Boro Police Dept,7,7,0,100%
11,Somerset,Hooversville Boro Police Dept,10,8,2,80%
11,Somerset,Jennerstown Boro Police Dept,13,11,2,85%
11,Somerset,Meyersdale Boro Police Dept,16,15,1,94%
11,Somerset,Paint Township Police Dept,5,5,0,100%
11,Somerset,Rockwood Boro Police Dept,13,11,2,85%
11,Somerset,Shade Township Police Dept,84,53,31,63%
11,Somerset,Somerset Boro Police Dept,87,58,29,67%
11,Somerset,Somerset County District Attorney,35,28,7,80%
11,Somerset,"Somerset County, Detectives",6,5,1,83%
11,Somerset,Summit Township Police Dept,4,3,1,75%
11,Somerset,Windber Boro Police Dept,96,89,7,93%
12,Snyder,Middleburg Boro Police Dept,50,49,1,98%
12,Snyder,Selinsgrove Boro Police Dept,35,34,1,97%
