Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams County District Attorney,13,13,1,100,Adams,2015 Q3
Adams County Sheriff,1,1,1,100,Adams,2015 Q3
Biglerville Boro Police Dept,5,5,1,100,Adams,2015 Q3
Bonneauville Boro Police Dept,1,1,1,100,Adams,2015 Q3
Carroll Valley Police Dept,20,19,0.95,95,Adams,2015 Q3
Conewago Township Police Dept,24,23,0.9583333333333334,95.83333333333334,Adams,2015 Q3
Cumberland Township Police Dept,34,34,1,100,Adams,2015 Q3
Eastern Adams Regl Police Dept,31,31,1,100,Adams,2015 Q3
Gettysburg Boro Police Dept,52,51,0.9807692307692307,98.07692307692307,Adams,2015 Q3
Latimore Township Police Dept,2,2,1,100,Adams,2015 Q3
Littlestown Boro Police Dept,19,19,1,100,Adams,2015 Q3
Mcsherrystown Police Dept,5,4,0.8,80,Adams,2015 Q3
Reading Township Police Dept,9,9,1,100,Adams,2015 Q3
