Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams County District Attorney,15,14,0.9333333333333333,93.33333333333333,Adams,2015 Q4
Adams County Sheriff,5,5,1,100,Adams,2015 Q4
Biglerville Boro Police Dept,2,2,1,100,Adams,2015 Q4
Carroll Valley Police Dept,15,13,0.8666666666666667,86.66666666666667,Adams,2015 Q4
Conewago Township Police Dept,22,21,0.9545454545454546,95.45454545454545,Adams,2015 Q4
Cumberland Township Police Dept,35,35,1,100,Adams,2015 Q4
Eastern Adams Regl Police Dept,26,25,0.9615384615384616,96.15384615384616,Adams,2015 Q4
Gettysburg Boro Police Dept,59,57,0.9661016949152542,96.61016949152543,Adams,2015 Q4
Littlestown Boro Police Dept,21,21,1,100,Adams,2015 Q4
Mcsherrystown Police Dept,3,3,1,100,Adams,2015 Q4
Reading Township Police Dept,1,1,1,100,Adams,2015 Q4
