Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny County Police Dept,159,146,0.9182389937106918,91.82389937106919,Allegheny,2015 Q1
Brentwood Boro Police Dept,108,91,0.8425925925925926,84.25925925925925,Allegheny,2015 Q1
Churchill Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Allegheny,2015 Q1
Collier Township Police Dept,25,24,0.96,96,Allegheny,2015 Q1
Crafton Borough Police Dept,40,38,0.95,95,Allegheny,2015 Q1
Edgeworth Dpt Police Dept,7,7,1,100,Allegheny,2015 Q1
Elizabeth Township Police Dept,25,19,0.76,76,Allegheny,2015 Q1
Fox Chapel Borough Police Dept,1,1,1,100,Allegheny,2015 Q1
Franklin Park Police Dept,11,10,0.9090909090909091,90.9090909090909,Allegheny,2015 Q1
Greentree Police Dept,25,23,0.92,92,Allegheny,2015 Q1
Homestead Police Dept,63,55,0.873015873015873,87.3015873015873,Allegheny,2015 Q1
Leetsdale Police Dept,6,5,0.8333333333333334,83.33333333333334,Allegheny,2015 Q1
Mccandless Police Dept,41,40,0.975609756097561,97.5609756097561,Allegheny,2015 Q1
North Versailles Police Dept,121,112,0.9256198347107438,92.56198347107438,Allegheny,2015 Q1
Northern Regl Pd Police Dept,31,30,0.967741935483871,96.7741935483871,Allegheny,2015 Q1
O'hara Township Police Dept,6,6,1,100,Allegheny,2015 Q1
Oakmont Boro Police Dept,13,12,0.9230769230769231,92.3076923076923,Allegheny,2015 Q1
Ohio Township Police Dept,43,41,0.9534883720930233,95.34883720930233,Allegheny,2015 Q1
Penn State Greater Allegheny Campus,1,1,1,100,Allegheny,2015 Q1
Pittsburgh School Police Dept,5,5,1,100,Allegheny,2015 Q1
Pleasant Hills Police Dept,37,28,0.7567567567567568,75.67567567567568,Allegheny,2015 Q1
Point Park University,2,2,1,100,Allegheny,2015 Q1
Scott Township Police Dept,40,34,0.85,85,Allegheny,2015 Q1
Sewickley Boro Police Dept,11,11,1,100,Allegheny,2015 Q1
Shaler Police Dept,28,23,0.8214285714285714,82.14285714285714,Allegheny,2015 Q1
South Park Tn Police Dept,15,14,0.9333333333333333,93.33333333333333,Allegheny,2015 Q1
Springdale Boro Police Dept,9,9,1,100,Allegheny,2015 Q1
Stowe Township Police Dept,71,65,0.9154929577464789,91.54929577464789,Allegheny,2015 Q1
Turtle Creek Police Dept,24,22,0.9166666666666666,91.66666666666666,Allegheny,2015 Q1
Univ Of Pittsburgh Police Dept,50,45,0.9,90,Allegheny,2015 Q1
West Mifflin Police Dept,146,123,0.8424657534246576,84.24657534246576,Allegheny,2015 Q1
Whitehall Boro Police Dept,20,19,0.95,95,Allegheny,2015 Q1
Allegheny County District Attorney,30,26,0.8666666666666667,86.66666666666667,Allegheny,2015 Q1
Allegheny County Sheriff,67,61,0.9104477611940298,91.04477611940298,Allegheny,2015 Q1
Aspinwall Boro Police Dept,3,3,1,100,Allegheny,2015 Q1
Braddock Hills Boro Police Dept,9,4,0.4444444444444444,44.44444444444444,Allegheny,2015 Q1
"Carnegie Mellon, University PD",6,5,0.8333333333333334,83.33333333333334,Allegheny,2015 Q1
Carnegie Police Dept,29,28,0.9655172413793104,96.55172413793103,Allegheny,2015 Q1
Cheswick Boro Police Dept,7,7,1,100,Allegheny,2015 Q1
Duquesne Police Dept,53,46,0.8679245283018868,86.79245283018868,Allegheny,2015 Q1
Edgewood Boro Police Dept,12,12,1,100,Allegheny,2015 Q1
Elizabeth Boro Police Dept,30,26,0.8666666666666667,86.66666666666667,Allegheny,2015 Q1
Etna Police Dept,22,20,0.9090909090909091,90.9090909090909,Allegheny,2015 Q1
Fawn Township Police Dept,1,1,1,100,Allegheny,2015 Q1
Forest Hills Police Dept,17,14,0.8235294117647058,82.35294117647058,Allegheny,2015 Q1
Forward Township Police Dept,9,9,1,100,Allegheny,2015 Q1
Ingram Borough Police Dept,18,17,0.9444444444444444,94.44444444444444,Allegheny,2015 Q1
Liberty Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Allegheny,2015 Q1
Lincoln Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Allegheny,2015 Q1
Mckees Rocks Police Dept,84,80,0.9523809523809523,95.23809523809523,Allegheny,2015 Q1
Mckeesport Police Dept,143,124,0.8671328671328671,86.7132867132867,Allegheny,2015 Q1
Moon Township Police Dept,75,71,0.9466666666666667,94.66666666666667,Allegheny,2015 Q1
Mt Lebanon Police Dept,48,42,0.875,87.5,Allegheny,2015 Q1
Oakdale Police Dept,4,4,1,100,Allegheny,2015 Q1
Penn Hills Police Dept,101,93,0.9207920792079208,92.07920792079209,Allegheny,2015 Q1
Pitcairn Police Dept,23,19,0.8260869565217391,82.6086956521739,Allegheny,2015 Q1
Plum Boro Police Dept,54,49,0.9074074074074074,90.74074074074075,Allegheny,2015 Q1
Port Vue Police Dept,8,8,1,100,Allegheny,2015 Q1
Robert Morris Police Dept,2,2,1,100,Allegheny,2015 Q1
Robinson Township Police Dept,94,86,0.9148936170212766,91.48936170212765,Allegheny,2015 Q1
Ross Township Police Dept,85,80,0.9411764705882353,94.11764705882352,Allegheny,2015 Q1
S Fayette Township Police Dept,19,17,0.8947368421052632,89.47368421052632,Allegheny,2015 Q1
Sewickley Hgts Police Dept,1,1,1,100,Allegheny,2015 Q1
Springdale Township Police Dept,5,5,1,100,Allegheny,2015 Q1
Upper St Clair Police Dept,20,20,1,100,Allegheny,2015 Q1
West Deer Township Police Dept,21,20,0.9523809523809523,95.23809523809523,Allegheny,2015 Q1
West Homestead Police Dept,15,13,0.8666666666666667,86.66666666666667,Allegheny,2015 Q1
West View Boro Police Dept,27,26,0.9629629629629629,96.29629629629629,Allegheny,2015 Q1
"Allegheny County, Housing Auth",8,8,1,100,Allegheny,2015 Q1
Avalon Boro Police Dept,13,10,0.7692307692307693,76.92307692307693,Allegheny,2015 Q1
Baldwin Police Dept,64,57,0.890625,89.0625,Allegheny,2015 Q1
Baldwin Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Allegheny,2015 Q1
Bell Acres Police Dept,2,2,1,100,Allegheny,2015 Q1
Bellevue Boro Police Dept,54,52,0.9629629629629629,96.29629629629629,Allegheny,2015 Q1
Bethel Park Police Dept,55,51,0.9272727272727272,92.72727272727272,Allegheny,2015 Q1
Blawnox Boro Police Dept,2,2,1,100,Allegheny,2015 Q1
Brackenridge Boro Police Dept,6,6,1,100,Allegheny,2015 Q1
"Braddock, Boro Of Police Dept",26,21,0.8076923076923077,80.76923076923077,Allegheny,2015 Q1
Bridgeville Boro Police Dept,26,26,1,100,Allegheny,2015 Q1
