Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Apollo Boro Police Dept,16,12,0.75,75,Armstrong,2015 Q2
Armstrong County District Attorney,6,2,0.3333333333333333,33.33333333333333,Armstrong,2015 Q2
Armstrong County Sheriff,,,,,,
"Armstrong County, Detectives",4,4,1,100,Armstrong,2015 Q2
East Franklin Township Police Dept,22,9,0.4090909090909091,40.909090909090914,Armstrong,2015 Q2
Elderton Borough Police Dept,2,0,0,0,Armstrong,2015 Q2
Ford City Boro Police Dept,12,5,0.4166666666666667,41.66666666666667,Armstrong,2015 Q2
Freeport Boro Police Dept,,,,,,
Gilpin Township Police Dept,5,3,0.6,60,Armstrong,2015 Q2
Kiskiminetas Township Police Dept,17,13,0.7647058823529411,76.47058823529412,Armstrong,2015 Q2
Kittanning Boro Police Dept,32,15,0.46875,46.875,Armstrong,2015 Q2
Leechburg Boro Police Dept,14,13,0.9285714285714286,92.85714285714286,Armstrong,2015 Q2
Manor Township Police Dept,5,2,0.4,40,Armstrong,2015 Q2
New Bethlehem Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Armstrong,2015 Q2
North Buffalo Police Dept,2,0,0,0,Armstrong,2015 Q2
Parker City Police Dept,,,,,,
Parks Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Armstrong,2015 Q2
South Buffalo Township Police Dept,1,1,1,100,Armstrong,2015 Q2
West Kittanning Police Dept,1,0,0,0,Armstrong,2015 Q2
Worthington Boro Police Dept,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
