Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Apollo Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Armstrong,2015 Q4
Armstrong County District Attorney,7,6,0.8571428571428571,85.71428571428571,Armstrong,2015 Q4
Armstrong County Sheriff,2,1,0.5,50,Armstrong,2015 Q4
"Armstrong County, Detectives",10,3,0.3,30,Armstrong,2015 Q4
East Franklin Township Police Dept,15,7,0.4666666666666667,46.666666666666664,Armstrong,2015 Q4
Elderton Borough Police Dept,2,1,0.5,50,Armstrong,2015 Q4
Ford City Boro Police Dept,9,2,0.2222222222222222,22.22222222222222,Armstrong,2015 Q4
Freeport Boro Police Dept,1,0,0,0,Armstrong,2015 Q4
Gilpin Township Police Dept,14,7,0.5,50,Armstrong,2015 Q4
Kiskiminetas Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Armstrong,2015 Q4
Kittanning Boro Police Dept,33,21,0.6363636363636364,63.63636363636363,Armstrong,2015 Q4
Leechburg Boro Police Dept,17,14,0.8235294117647058,82.35294117647058,Armstrong,2015 Q4
Manor Township Police Dept,4,3,0.75,75,Armstrong,2015 Q4
New Bethlehem Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Armstrong,2015 Q4
North Buffalo Police Dept,3,0,0,0,Armstrong,2015 Q4
Parks Township Police Dept,10,5,0.5,50,Armstrong,2015 Q4
West Kittanning Police Dept,3,2,0.6666666666666666,66.66666666666666,Armstrong,2015 Q4
