Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bedford County District Attorney,3,2,0.6666666666666666,66.66666666666666,Bedford,2015 Q1
Bedford County Sheriff,,,,,Bedford,
Bedford Police Dept,12,7,0.5833333333333334,58.333333333333336,Bedford,2015 Q1
Everett Boro Police Dept,2,2,1,100,Bedford,2015 Q1
Saxton Boro Police Dept,13,10,0.7692307692307693,76.92307692307693,Bedford,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
