Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Amity Township Police Dept,31,28,0.9032258064516129,90.32258064516128,Berks,2015 Q4
Bally Boro Police Dept,1,1,1,100,Berks,2015 Q4
Berks County District Attorney,63,58,0.9206349206349206,92.06349206349206,Berks,2015 Q4
Berks County Sheriff,1,1,1,100,Berks,2015 Q4
Bern Township Police Dept,15,15,1,100,Berks,2015 Q4
Bernville Boro Police Dept,1,1,1,100,Berks,2015 Q4
Bethel Township Police Dept,1,1,1,100,Berks,2015 Q4
Birdsboro Boro Police Dept,8,7,0.875,87.5,Berks,2015 Q4
Boyertown Police Dept,25,24,0.96,96,Berks,2015 Q4
Brecknock Township Police Dept,16,16,1,100,Berks,2015 Q4
Caernarvon Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Berks,2015 Q4
Central Berks Region Police Dept,31,27,0.8709677419354839,87.09677419354838,Berks,2015 Q4
Colebrookdale Township Police Dept,22,21,0.9545454545454546,95.45454545454545,Berks,2015 Q4
Cumru Township Police Dept,43,38,0.8837209302325582,88.37209302325581,Berks,2015 Q4
Douglass Township Police Dept,6,6,1,100,Berks,2015 Q4
Exeter Township Police Dept,137,114,0.8321167883211679,83.21167883211679,Berks,2015 Q4
Fleetwood Boro Police Dept,17,17,1,100,Berks,2015 Q4
"Franklin And Marshal, College PD",1,1,1,100,Berks,2015 Q4
Hamburg Boro Police Dept,7,7,1,100,Berks,2015 Q4
Heidelberg Township Police Dept,1,1,1,100,Berks,2015 Q4
Kutztown Boro Police Dept,35,33,0.9428571428571428,94.28571428571428,Berks,2015 Q4
"Kutztown, University PD",13,13,1,100,Berks,2015 Q4
Laureldale Boro Police Dept,4,2,0.5,50,Berks,2015 Q4
Lower Heidelberg Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Berks,2015 Q4
Mohnton Boro Police Dept,1,1,1,100,Berks,2015 Q4
Muhlenberg Township Police Dept,115,104,0.9043478260869565,90.43478260869566,Berks,2015 Q4
Norfolk Southern Police Dept,1,1,1,100,Berks,2015 Q4
Northern Berks Police Dept,30,29,0.9666666666666667,96.66666666666667,Berks,2015 Q4
Oley Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Berks,2015 Q4
"Penn State, University PD",2,2,1,100,Berks,2015 Q4
Reading City Police Dept,546,463,0.847985347985348,84.7985347985348,Berks,2015 Q4
Robeson Police Dept,7,6,0.8571428571428571,85.71428571428571,Berks,2015 Q4
Shillington Boro Police Dept,14,8,0.5714285714285714,57.14285714285714,Berks,2015 Q4
Sinking Springs Boro Police Dept,11,9,0.8181818181818182,81.81818181818183,Berks,2015 Q4
South Heidelberg Township Police Dept,8,6,0.75,75,Berks,2015 Q4
Spring Township Police Dept,71,68,0.9577464788732394,95.77464788732394,Berks,2015 Q4
Tilden Township Police Dept,7,5,0.7142857142857143,71.42857142857143,Berks,2015 Q4
Tulpehocken Township Police Dept,2,2,1,100,Berks,2015 Q4
West Reading Boro Police Dept,32,24,0.75,75,Berks,2015 Q4
Western Berks Regional Police Dept.,13,12,0.9230769230769231,92.3076923076923,Berks,2015 Q4
Womelsdorf Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Berks,2015 Q4
Wyomissing Boro Police Dept,89,70,0.7865168539325843,78.65168539325843,Berks,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
