Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bethel Township Police Dept,9,6,0.6666666666666666,66.66666666666666,Berks,2015 Q2
Birdsboro Boro Police Dept,11,11,1,100,Berks,2015 Q2
Cumru Township Police Dept,46,39,0.8478260869565217,84.78260869565217,Berks,2015 Q2
Hamburg Boro Police Dept,17,17,1,100,Berks,2015 Q2
Northern Berks Police Dept,34,30,0.8823529411764706,88.23529411764706,Berks,2015 Q2
"Penn State, University PD",9,9,1,100,Berks,2015 Q2
Tulpehocken Township Police Dept,2,2,1,100,Berks,2015 Q2
Womelsdorf Boro Police Dept,1,1,1,100,Berks,2015 Q2
Wyomissing Boro Police Dept,91,73,0.8021978021978022,80.21978021978022,Berks,2015 Q2
Berks County District Attorney,57,55,0.9649122807017544,96.49122807017544,Berks,2015 Q2
Bern Township Police Dept,10,9,0.9,90,Berks,2015 Q2
Brecknock Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Berks,2015 Q2
Caernarvon Township Police Dept,21,21,1,100,Berks,2015 Q2
Central Berks Region Police Dept,29,26,0.896551724137931,89.65517241379311,Berks,2015 Q2
Colebrookdale Township Police Dept,14,14,1,100,Berks,2015 Q2
Exeter Township Police Dept,91,81,0.8901098901098901,89.01098901098901,Berks,2015 Q2
Fleetwood Boro Police Dept,8,8,1,100,Berks,2015 Q2
"Kutztown, University PD",25,25,1,100,Berks,2015 Q2
Laureldale Boro Police Dept,12,8,0.6666666666666666,66.66666666666666,Berks,2015 Q2
Lower Heidelberg Township Police Dept,3,3,1,100,Berks,2015 Q2
Muhlenberg Township Police Dept,186,167,0.8978494623655914,89.78494623655914,Berks,2015 Q2
Robeson Police Dept,10,10,1,100,Berks,2015 Q2
Sinking Springs Boro Police Dept,13,13,1,100,Berks,2015 Q2
West Reading Boro Police Dept,63,52,0.8253968253968254,82.53968253968253,Berks,2015 Q2
Western Berks Regional Police Dept.,15,15,1,100,Berks,2015 Q2
Amity Township Police Dept,37,33,0.8918918918918919,89.1891891891892,Berks,2015 Q2
Bally Boro Police Dept,1,1,1,100,Berks,2015 Q2
Berks County Sheriff,2,1,0.5,50,Berks,2015 Q2
Boyertown Police Dept,32,32,1,100,Berks,2015 Q2
Douglass Township Police Dept,13,11,0.8461538461538461,84.61538461538461,Berks,2015 Q2
Kutztown Boro Police Dept,29,26,0.896551724137931,89.65517241379311,Berks,2015 Q2
Mohnton Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Berks,2015 Q2
Oley Township Police Dept,4,4,1,100,Berks,2015 Q2
Reading City Police Dept,703,624,0.887624466571835,88.7624466571835,Berks,2015 Q2
Shillington Boro Police Dept,25,24,0.96,96,Berks,2015 Q2
South Heidelberg Township Police Dept,15,12,0.8,80,Berks,2015 Q2
Spring Township Police Dept,57,52,0.9122807017543859,91.22807017543859,Berks,2015 Q2
Tilden Township Police Dept,10,10,1,100,Berks,2015 Q2
