Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny Township Police Dept,67,56,0.835820895522388,83.5820895522388,Blair,2015 Q1
Altoona Area SD Police Dept,,,,,Blair,
Altoona Police Dept,280,229,0.8178571428571428,81.78571428571428,Blair,2015 Q1
Bellwood Boro Police Dept,5,3,0.6,60,Blair,2015 Q1
Blair County District Attorney,1,1,1,100,Blair,2015 Q1
Blair County Sheriff,6,4,0.6666666666666666,66.66666666666666,Blair,2015 Q1
Blair Township Police Dept,7,7,1,100,Blair,2015 Q1
Duncansville Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Blair,2015 Q1
Freedom Township Police Dept,41,38,0.926829268292683,92.6829268292683,Blair,2015 Q1
Greenfield Township Police Dept,29,27,0.9310344827586207,93.10344827586206,Blair,2015 Q1
Hollidaysburg Boro Police Dept,22,22,1,100,Blair,2015 Q1
Logan Township Police Dept,79,64,0.810126582278481,81.0126582278481,Blair,2015 Q1
Martinsburg Boro Police Dept,6,6,1,100,Blair,2015 Q1
Norfolk Southern Police Dept,6,6,1,100,Blair,2015 Q1
North Woodbury Township Police Dept,1,1,1,100,Blair,2015 Q1
"Penn State, University PD",23,16,0.6956521739130435,69.56521739130434,Blair,2015 Q1
Roaring Spring Boro Police Dept,3,3,1,100,Blair,2015 Q1
Tyrone Boro Police Dept,37,28,0.7567567567567568,75.67567567567568,Blair,2015 Q1
Williamsburg Boro Police Dept,1,1,1,100,Blair,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
