Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny Township Police Dept,56,42,0.75,75,Blair,2015 Q2
Altoona Police Dept,325,279,0.8584615384615385,85.84615384615385,Blair,2015 Q2
Bellwood Boro Police Dept,10,8,0.8,80,Blair,2015 Q2
Blair County Sheriff,3,3,1,100,Blair,2015 Q2
Blair Township Police Dept,12,8,0.6666666666666666,66.66666666666666,Blair,2015 Q2
Duncansville Boro Police Dept,3,3,1,100,Blair,2015 Q2
Freedom Township Police Dept,35,30,0.8571428571428571,85.71428571428571,Blair,2015 Q2
Greenfield Township Police Dept,29,27,0.9310344827586207,93.10344827586206,Blair,2015 Q2
Hollidaysburg Boro Police Dept,14,10,0.7142857142857143,71.42857142857143,Blair,2015 Q2
Logan Township Police Dept,74,63,0.8513513513513513,85.13513513513513,Blair,2015 Q2
Martinsburg Boro Police Dept,1,1,1,100,Blair,2015 Q2
Norfolk Southern Police Dept,2,1,0.5,50,Blair,2015 Q2
North Woodbury Township Police Dept,1,1,1,100,Blair,2015 Q2
"Penn State, University PD",4,2,0.5,50,Blair,2015 Q2
Roaring Spring Boro Police Dept,5,4,0.8,80,Blair,2015 Q2
Tyrone Boro Police Dept,32,30,0.9375,93.75,Blair,2015 Q2
Williamsburg Boro Police Dept,1,1,1,100,Blair,2015 Q2
