Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bedminster Township Police Dept,8,8,1,100,Bucks,2015 Q4
Bensalem Township Police Dept,472,444,0.940677966101695,94.0677966101695,Bucks,2015 Q4
Bristol Boro Police Dept,12,9,0.75,75,Bucks,2015 Q4
Bristol Township Police Dept,153,136,0.8888888888888888,88.88888888888889,Bucks,2015 Q4
Buckingham Township Police Dept,19,16,0.8421052631578947,84.21052631578947,Bucks,2015 Q4
Bucks County Prison,5,5,1,100,Bucks,2015 Q4
Bucks County Sheriff,1,1,1,100,Bucks,2015 Q4
"Bucks County, Detectives",17,14,0.8235294117647058,82.35294117647058,Bucks,2015 Q4
"Bucks County, Rangers",3,2,0.6666666666666666,66.66666666666666,Bucks,2015 Q4
Central Bucks Regional Police,28,23,0.8214285714285714,82.14285714285714,Bucks,2015 Q4
Chalfont Boro Police Dept,6,4,0.6666666666666666,66.66666666666666,Bucks,2015 Q4
Doylestown Boro Police Dept,1,0,0,0,Bucks,2015 Q4
Doylestown Township Police Dept,37,35,0.9459459459459459,94.5945945945946,Bucks,2015 Q4
Dublin Boro Police Dept,4,4,1,100,Bucks,2015 Q4
Falls Township Police Dept,133,112,0.8421052631578947,84.21052631578947,Bucks,2015 Q4
Hilltown Township Police Dept,70,63,0.9,90,Bucks,2015 Q4
Hulmeville Boro Police Dept,1,1,1,100,Bucks,2015 Q4
Langhorne Boro Police Dept,2,2,1,100,Bucks,2015 Q4
Langhorne Manor Police Dept,1,0,0,0,Bucks,2015 Q4
Lower Makefield Police Dept,33,27,0.8181818181818182,81.81818181818183,Bucks,2015 Q4
Lower Southampton Police Dept,60,56,0.9333333333333333,93.33333333333333,Bucks,2015 Q4
Middletown Township Police Dept,173,154,0.8901734104046243,89.01734104046243,Bucks,2015 Q4
Morrisville Boro Police Dept,52,52,1,100,Bucks,2015 Q4
New Britain Township Police Dept,19,15,0.7894736842105263,78.94736842105263,Bucks,2015 Q4
New Hope Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Bucks,2015 Q4
Newtown Boro Police Dept,16,16,1,100,Bucks,2015 Q4
Newtown Township Police Dept,27,24,0.8888888888888888,88.88888888888889,Bucks,2015 Q4
Northampton Township Police Dept,47,47,1,100,Bucks,2015 Q4
Penndel Boro Police Dept,20,14,0.7,70,Bucks,2015 Q4
Pennridge Regional Police Dept,16,12,0.75,75,Bucks,2015 Q4
Perkasie Boro Police Dept,37,34,0.918918918918919,91.8918918918919,Bucks,2015 Q4
Plumstead Township Police Dept,33,27,0.8181818181818182,81.81818181818183,Bucks,2015 Q4
Quakertown Boro Police Dept,49,47,0.9591836734693877,95.91836734693877,Bucks,2015 Q4
Richland Township Police Dept,48,42,0.875,87.5,Bucks,2015 Q4
Solebury Township Police Dept,11,9,0.8181818181818182,81.81818181818183,Bucks,2015 Q4
Springfield Township Police Dept,4,4,1,100,Bucks,2015 Q4
Telford Boro Police Dept,4,2,0.5,50,Bucks,2015 Q4
Tinicum Township Police Dept,1,1,1,100,Bucks,2015 Q4
Tullytown Borough Police Dept,50,49,0.98,98,Bucks,2015 Q4
Upper Makefield Police Dept,12,11,0.9166666666666666,91.66666666666666,Bucks,2015 Q4
Upper Southampton Police Dept,43,43,1,100,Bucks,2015 Q4
Warminster Township Police Dept,64,63,0.984375,98.4375,Bucks,2015 Q4
Warrington Township Police Dept,72,66,0.9166666666666666,91.66666666666666,Bucks,2015 Q4
Warwick Township Police Dept,53,52,0.9811320754716981,98.11320754716981,Bucks,2015 Q4
Yardley Boro Police Dept,13,10,0.7692307692307693,76.92307692307693,Bucks,2015 Q4
