Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,39,31,0.7948717948717948,79.48717948717949,Butler,2015 Q1
Buffalo Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Butler,2015 Q1
Butler City Police Dept,160,135,0.84375,84.375,Butler,2015 Q1
Butler Community College PD,1,1,1,100,Butler,2015 Q1
Butler County Sheriff,4,3,0.75,75,Butler,2015 Q1
"Butler County, Detectives",21,20,0.9523809523809523,95.23809523809523,Butler,2015 Q1
Butler Township Police Dept,103,95,0.9223300970873787,92.23300970873787,Butler,2015 Q1
Cranberry Township Police Dept,123,101,0.8211382113821138,82.11382113821138,Butler,2015 Q1
Evans City Boro Police Dept,5,4,0.8,80,Butler,2015 Q1
Evans City Seven Fields Reg PD,1,1,1,100,Butler,2015 Q1
Harrisville Boro Police Dept,2,1,0.5,50,Butler,2015 Q1
Jackson Township Police Dept,15,15,1,100,Butler,2015 Q1
Lancaster Township Police Dept,4,4,1,100,Butler,2015 Q1
Middlesex Township Police Dept,16,15,0.9375,93.75,Butler,2015 Q1
Penn Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Butler,2015 Q1
"Philadelphia, Housing Auth",1,1,1,100,Butler,2015 Q1
Saxonburg Boro Police Dept,4,1,0.25,25,Butler,2015 Q1
Slippery Rock Boro Police Dept,7,7,1,100,Butler,2015 Q1
"Slippery Rock, University PD",8,8,1,100,Butler,2015 Q1
Zelienople Police Dept,14,10,0.7142857142857143,71.42857142857143,Butler,2015 Q1
