Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,3,3,1,100,Cambria,2015 Q1
Ashville Boro Police Dept,,,,,Cambria,
Blacklick Township Police Dept,2,2,1,100,Cambria,2015 Q1
Cambria County DUI Task Force,4,4,1,100,Cambria,2015 Q1
Cambria County Sheriff,1,1,1,100,Cambria,2015 Q1
"Cambria County, Detectives",49,44,0.8979591836734694,89.79591836734694,Cambria,2015 Q1
Cambria Township Police Dept,65,56,0.8615384615384616,86.15384615384616,Cambria,2015 Q1
Carrolltown Boro Police Dept,9,9,1,100,Cambria,2015 Q1
Conemaugh Township Police Dept,4,4,1,100,Cambria,2015 Q1
Cresson Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Cambria,2015 Q1
Cresson Township Police Dept,26,26,1,100,Cambria,2015 Q1
Croyle Township Police Dept,5,5,1,100,Cambria,2015 Q1
Dale Boro Police Dept,11,8,0.7272727272727273,72.72727272727273,Cambria,2015 Q1
E Conemaugh Boro Police Dept,7,7,1,100,Cambria,2015 Q1
East Taylor Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Cambria,2015 Q1
Ebensburg Boro Police Dept,18,15,0.8333333333333334,83.33333333333334,Cambria,2015 Q1
Ferndale Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Cambria,2015 Q1
Gallitzin Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Cambria,2015 Q1
Gallitzin Township Pd Police Dept,2,2,1,100,Cambria,2015 Q1
Geistown Boro Police Dept,6,6,1,100,Cambria,2015 Q1
Hastings Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Cambria,2015 Q1
Jackson Township Police Dept,14,14,1,100,Cambria,2015 Q1
Johnstown Police Dept,221,190,0.8597285067873304,85.97285067873304,Cambria,2015 Q1
Nanty Glo Boro Police Dept,7,7,1,100,Cambria,2015 Q1
Northern Cambria Police Dept,19,18,0.9473684210526315,94.73684210526315,Cambria,2015 Q1
Paint Township Police Dept,,,,,Cambria,
Patton Boro Police Dept,10,10,1,100,Cambria,2015 Q1
Portage Boro Police Dept,2,2,1,100,Cambria,2015 Q1
Richland Township Police Dept,151,113,0.7483443708609272,74.83443708609272,Cambria,2015 Q1
"St Francis, University PD",,,,,Cambria,
South Fork Boro Police Dept,1,1,1,100,Cambria,2015 Q1
Stonycreek Township Police Dept,7,5,0.7142857142857143,71.42857142857143,Cambria,2015 Q1
Summerhill Township Police Dept,8,8,1,100,Cambria,2015 Q1
Univ Of Pittsburgh Police Dept,,,,,Cambria,
Upper Yoder Township Police Dept,1,1,1,100,Cambria,2015 Q1
West Hills Regional Police Dept,26,26,1,100,Cambria,2015 Q1
Windber Boro Police Dept,5,5,1,100,Cambria,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
