Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,6,6,1,100,Cambria,2015 Q4
Ashville Boro Police Dept,1,1,1,100,Cambria,2015 Q4
Blacklick Township Police Dept,3,3,1,100,Cambria,2015 Q4
Cambria County DUI Task Force,2,2,1,100,Cambria,2015 Q4
"Cambria County, Detectives",47,43,0.9148936170212766,91.48936170212765,Cambria,2015 Q4
Cambria Township Police Dept,30,29,0.9666666666666667,96.66666666666667,Cambria,2015 Q4
Carrolltown Boro Police Dept,8,8,1,100,Cambria,2015 Q4
Conemaugh Township Police Dept,2,2,1,100,Cambria,2015 Q4
Cresson Boro Police Dept,11,9,0.8181818181818182,81.81818181818183,Cambria,2015 Q4
Cresson Township Police Dept,5,4,0.8,80,Cambria,2015 Q4
Croyle Township Police Dept,1,1,1,100,Cambria,2015 Q4
Dale Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Cambria,2015 Q4
E Conemaugh Boro Police Dept,17,16,0.9411764705882353,94.11764705882352,Cambria,2015 Q4
East Taylor Township Police Dept,8,8,1,100,Cambria,2015 Q4
Ebensburg Boro Police Dept,17,17,1,100,Cambria,2015 Q4
Ferndale Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Cambria,2015 Q4
Gallitzin Boro Police Dept,14,13,0.9285714285714286,92.85714285714286,Cambria,2015 Q4
Geistown Boro Police Dept,5,5,1,100,Cambria,2015 Q4
Hastings Boro Police Dept,11,11,1,100,Cambria,2015 Q4
Jackson Township Police Dept,14,12,0.8571428571428571,85.71428571428571,Cambria,2015 Q4
Johnstown Police Dept,223,202,0.905829596412556,90.5829596412556,Cambria,2015 Q4
Nanty Glo Boro Police Dept,13,11,0.8461538461538461,84.61538461538461,Cambria,2015 Q4
Northern Cambria Police Dept,21,19,0.9047619047619048,90.47619047619048,Cambria,2015 Q4
Paint Township Police Dept,1,0,0,0,Cambria,2015 Q4
Patton Boro Police Dept,3,3,1,100,Cambria,2015 Q4
Portage Boro Police Dept,4,4,1,100,Cambria,2015 Q4
Richland Township Police Dept,155,133,0.8580645161290322,85.80645161290322,Cambria,2015 Q4
"St Francis, University PD",1,1,1,100,Cambria,2015 Q4
Stonycreek Township Police Dept,6,4,0.6666666666666666,66.66666666666666,Cambria,2015 Q4
Summerhill Township Police Dept,9,9,1,100,Cambria,2015 Q4
Univ Of Pittsburgh Police Dept,2,2,1,100,Cambria,2015 Q4
Upper Yoder Township Police Dept,3,3,1,100,Cambria,2015 Q4
West Hills Regional Police Dept,21,20,0.9523809523809523,95.23809523809523,Cambria,2015 Q4
