Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Beaver Meadows Boro Police Dept,5,5,1,100,Carbon,2015 Q4
Carbon County Sheriff,1,1,1,100,Carbon,2015 Q4
Franklin Township Police Dept,19,18,0.9473684210526315,94.73684210526315,Carbon,2015 Q4
Jim Thorpe Police Dept,17,15,0.8823529411764706,88.23529411764706,Carbon,2015 Q4
Kidder Township Police Dept,13,13,1,100,Carbon,2015 Q4
Lansford Boro Police Dept,40,34,0.85,85,Carbon,2015 Q4
Lehighton Boro Police Dept,36,30,0.8333333333333334,83.33333333333334,Carbon,2015 Q4
Mahoning Township Police Dept,71,68,0.9577464788732394,95.77464788732394,Carbon,2015 Q4
Nesquehoning Boro Police Dept,21,18,0.8571428571428571,85.71428571428571,Carbon,2015 Q4
Palmerton Boro Police Dept,30,28,0.9333333333333333,93.33333333333333,Carbon,2015 Q4
Summit Hill Boro Police Dept,7,7,1,100,Carbon,2015 Q4
Weatherly Boro Police Dept,23,21,0.9130434782608695,91.30434782608695,Carbon,2015 Q4
