Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bellefonte Boro Police Dept,23,22,0.9565217391304348,95.65217391304348,Centre,2015 Q4
Centre County Sheriff,1,1,1,100,Centre,2015 Q4
Ferguson Township Police Dept,32,29,0.90625,90.625,Centre,2015 Q4
Patton Township Police Dept,40,39,0.975,97.5,Centre,2015 Q4
"Penn State, University PD",90,88,0.9777777777777777,97.77777777777777,Centre,2015 Q4
Spring Township Police Dept,21,19,0.9047619047619048,90.47619047619048,Centre,2015 Q4
State College Police Department,165,158,0.9575757575757575,95.75757575757575,Centre,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
