Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Berks County District Attorney,1,0,0,0,Chester,2015 Q2
Birmingham Township Police Dept,1,1,1,100,Chester,2015 Q2
Caln Township Police Dept,42,27,0.6428571428571429,64.28571428571429,Chester,2015 Q2
"Chester County, Detectives",21,21,1,100,Chester,2015 Q2
Christiana Boro Police Dept,1,1,1,100,Chester,2015 Q2
Coatesville City Police Dept,115,104,0.9043478260869565,90.43478260869566,Chester,2015 Q2
Downingtown Boro Police Dept,30,29,0.9666666666666667,96.66666666666667,Chester,2015 Q2
E Coventry Township Police Dept,3,3,1,100,Chester,2015 Q2
E Fallowfield Township Police Dept,6,2,0.3333333333333333,33.33333333333333,Chester,2015 Q2
E Vincent Township Police Dept,7,6,0.8571428571428571,85.71428571428571,Chester,2015 Q2
E Whiteland Township Police Dept,17,14,0.8235294117647058,82.35294117647058,Chester,2015 Q2
East Brandywine Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Chester,2015 Q2
East Marlborough Township Police Dept,1,1,1,100,Chester,2015 Q2
East Pikeland Township Pd Police Dept,15,14,0.9333333333333333,93.33333333333333,Chester,2015 Q2
Easttown Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Chester,2015 Q2
Honeybrook Boro Police Dept,1,0,0,0,Chester,2015 Q2
Kennett Square Police Dept,27,21,0.7777777777777778,77.77777777777779,Chester,2015 Q2
Kennett Township Police Dept,4,4,1,100,Chester,2015 Q2
"Lincoln, University PD",9,7,0.7777777777777778,77.77777777777779,Chester,2015 Q2
Malvern Boro Police Dept,3,3,1,100,Chester,2015 Q2
N Coventry Township Police Dept,29,28,0.9655172413793104,96.55172413793103,Chester,2015 Q2
New Garden Township Police Dept,31,25,0.8064516129032258,80.64516129032258,Chester,2015 Q2
Oxford Boro Police Dept,9,4,0.4444444444444444,44.44444444444444,Chester,2015 Q2
Parkesburg Boro Police Dept,25,18,0.72,72,Chester,2015 Q2
Phoenixville Boro Police Dept,62,57,0.9193548387096774,91.93548387096774,Chester,2015 Q2
S Coatesville Boro Police Dept,6,4,0.6666666666666666,66.66666666666666,Chester,2015 Q2
Sadsbury Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Chester,2015 Q2
Schuylkill Township Police Dept,20,19,0.95,95,Chester,2015 Q2
Spring City Boro Police Dept,15,10,0.6666666666666666,66.66666666666666,Chester,2015 Q2
Tredyffrin Township Police Dept,70,62,0.8857142857142857,88.57142857142857,Chester,2015 Q2
Upper Uwchlan Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Chester,2015 Q2
Uwchlan Township Police Dept,11,9,0.8181818181818182,81.81818181818183,Chester,2015 Q2
Valley Township Police Dept,10,6,0.6,60,Chester,2015 Q2
W Caln Township Police Dept,5,3,0.6,60,Chester,2015 Q2
West Brandywine Township Police Dept,23,18,0.782608695652174,78.26086956521739,Chester,2015 Q2
West Chester Boro Police Dept,89,78,0.8764044943820225,87.64044943820225,Chester,2015 Q2
"West Chester, University PD",9,7,0.7777777777777778,77.77777777777779,Chester,2015 Q2
West Fallowfield Township Police Dept,3,3,1,100,Chester,2015 Q2
West Goshen Township Police Dept,47,45,0.9574468085106383,95.74468085106383,Chester,2015 Q2
West Grove Boro Police Dept,2,2,1,100,Chester,2015 Q2
West Pikeland Township Police Dept,4,3,0.75,75,Chester,2015 Q2
West Sadsbury Police Dept,13,11,0.8461538461538461,84.61538461538461,Chester,2015 Q2
West Vincent Township Police Dept,2,2,1,100,Chester,2015 Q2
West Whiteland Township Police Dept,83,74,0.891566265060241,89.1566265060241,Chester,2015 Q2
Westtown/East Goshen Police Dept,50,46,0.92,92,Chester,2015 Q2
Willistown Township Police Dept,9,9,1,100,Chester,2015 Q2
