Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Benton Police Dept,5,4,0.8,80,Columbia,2015 Q3
Berwick Boro Police Dept,58,42,0.7241379310344828,72.41379310344827,Columbia,2015 Q3
Bloomsburg Police Dept,63,61,0.9682539682539683,96.82539682539682,Columbia,2015 Q3
"Bloomsburg, University PD",9,8,0.8888888888888888,88.88888888888889,Columbia,2015 Q3
Briarcreek Township Police Dept,10,7,0.7,70,Columbia,2015 Q3
Catawissa Police Dept,18,11,0.6111111111111112,61.111111111111114,Columbia,2015 Q3
Columbia County Sheriff,2,1,0.5,50,Columbia,2015 Q3
"Columbia County, Detectives",1,1,1,100,Columbia,2015 Q3
Greenwood Township Police Dept,,,,,,
Hemlock Township Police Dept,29,26,0.896551724137931,89.65517241379311,Columbia,2015 Q3
Locust Township PD,8,6,0.75,75,Columbia,2015 Q3
Madison Township Police Dept,1,1,1,100,Columbia,2015 Q3
Millville Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Columbia,2015 Q3
Montour Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Columbia,2015 Q3
Orangeville Area Police Dept,4,3,0.75,75,Columbia,2015 Q3
Scott Township Police Dept,31,31,1,100,Columbia,2015 Q3
South Centre Township Police Dept,19,16,0.8421052631578947,84.21052631578947,Columbia,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
