Agency,Total,Printed,Match Rate Orig,Rate,County,Release
"Allegheny College, Safety & Sec",,,,,,
Cambridge Springs Police Dept,8,8,1,100,Crawford,2015 Q3
Cochranton Boro Police Dept,4,2,0.5,50,Crawford,2015 Q3
Conneaut Lake Regl Police Dept,8,7,0.875,87.5,Crawford,2015 Q3
Crawford County Sheriff,1,0,0,0,Crawford,2015 Q3
Linesville Boro Police Dept,8,8,1,100,Crawford,2015 Q3
Meadville City Police Dept,76,64,0.8421052631578947,84.21052631578947,Crawford,2015 Q3
Titusville Police Dept,26,14,0.5384615384615384,53.84615384615385,Crawford,2015 Q3
Univ Of Pittsburgh Police Dept,,,,,,
Vernon Township Police Dept,35,29,0.8285714285714286,82.85714285714286,Crawford,2015 Q3
West Mead Township Police Dept,8,6,0.75,75,Crawford,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
