Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Camp Hill Police Dept,30,29,0.9666666666666667,96.66666666666667,Cumberland,2015 Q1
Carlisle Boro Police Dept,131,117,0.8931297709923665,89.31297709923665,Cumberland,2015 Q1
Cumberland County District Attorney,19,17,0.8947368421052632,89.47368421052632,Cumberland,2015 Q1
Cumberland County Sheriff,2,2,1,100,Cumberland,2015 Q1
"Dickinson, College PD",4,4,1,100,Cumberland,2015 Q1
E Pennsboro Township Police Dept,52,44,0.8461538461538461,84.61538461538461,Cumberland,2015 Q1
Hampden Township Police Dept,76,71,0.9342105263157895,93.42105263157895,Cumberland,2015 Q1
Lower Allen Township Police Dept,77,74,0.961038961038961,96.1038961038961,Cumberland,2015 Q1
Mechanicsburg Police Dept,30,29,0.9666666666666667,96.66666666666667,Cumberland,2015 Q1
Middlesex Township Police Dept,42,39,0.9285714285714286,92.85714285714286,Cumberland,2015 Q1
Mt Holly Sprngs Police Dept,9,4,0.4444444444444444,44.44444444444444,Cumberland,2015 Q1
New Cumberland Police Dept,15,13,0.8666666666666667,86.66666666666667,Cumberland,2015 Q1
Newville Borough Police Dept,7,7,1,100,Cumberland,2015 Q1
North Middleton Police Dept,37,37,1,100,Cumberland,2015 Q1
Shippensburg Police Dept,34,26,0.7647058823529411,76.47058823529412,Cumberland,2015 Q1
"Shippensburg, University PD",7,6,0.8571428571428571,85.71428571428571,Cumberland,2015 Q1
Shiremanstown Police Dept,5,5,1,100,Cumberland,2015 Q1
Silver Spring Police Dept,118,99,0.8389830508474576,83.89830508474576,Cumberland,2015 Q1
Upper Allen Township Police Dept,41,41,1,100,Cumberland,2015 Q1
West Shore Regional Police Dept,59,59,1,100,Cumberland,2015 Q1
