Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Halifax Regional Police Dept,2,1,0.5,50,Dauphin,2015 Q1
Lower Swatara Township Police Dept,77,68,0.8831168831168831,88.31168831168831,Dauphin,2015 Q1
Millersburg Boro Police Dept,5,5,1,100,Dauphin,2015 Q1
Paxtang Boro Police Dept,16,11,0.6875,68.75,Dauphin,2015 Q1
Royalton Boro Police Dept,13,11,0.8461538461538461,84.61538461538461,Dauphin,2015 Q1
Derry Township Police Dept,90,81,0.9,90,Dauphin,2015 Q1
Lower Paxton Township Police Dept,230,204,0.8869565217391304,88.69565217391305,Dauphin,2015 Q1
"Penn State, University PD",3,3,1,100,Dauphin,2015 Q1
State Capitol Police Dept,35,19,0.5428571428571428,54.285714285714285,Dauphin,2015 Q1
Susquehanna Township Police Dept,146,138,0.9452054794520548,94.52054794520548,Dauphin,2015 Q1
Dauphin County District Attorney,58,51,0.8793103448275862,87.93103448275862,Dauphin,2015 Q1
Harrisburg Police Dept,694,610,0.8789625360230547,87.89625360230548,Dauphin,2015 Q1
Highspire Boro Police Dept,48,43,0.8958333333333334,89.58333333333334,Dauphin,2015 Q1
Hummelstown Police Dept,22,21,0.9545454545454546,95.45454545454545,Dauphin,2015 Q1
Lykens Boro P D Police Dept,2,0,0,0,Dauphin,2015 Q1
Middletown Police Dept,58,44,0.7586206896551724,75.86206896551724,Dauphin,2015 Q1
Penbrook Police Dept,32,29,0.90625,90.625,Dauphin,2015 Q1
Steelton Police Dept,67,62,0.9253731343283582,92.53731343283582,Dauphin,2015 Q1
Swatara Township Police Dept,402,363,0.9029850746268657,90.29850746268657,Dauphin,2015 Q1
