Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Aldan Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Delaware,2015 Q3
Aston Township Police Dept,42,38,0.9047619047619048,90.47619047619048,Delaware,2015 Q3
Bethel Township Police Dept,4,3,0.75,75,Delaware,2015 Q3
Brookhaven Boro Police Dept,36,24,0.6666666666666666,66.66666666666666,Delaware,2015 Q3
Chester City Police Dept,201,164,0.8159203980099502,81.59203980099502,Delaware,2015 Q3
Chester Housing Dept Police Dept,,,,,,
Chester Township Police Dept,31,12,0.3870967741935484,38.70967741935484,Delaware,2015 Q3
"Cheyney, University PD",,,,,,
Clifton Hgts Police Dept,33,31,0.9393939393939394,93.93939393939394,Delaware,2015 Q3
Collingdale Police Dept,37,19,0.5135135135135135,51.35135135135135,Delaware,2015 Q3
Colwyn Boro Police Dept,7,3,0.42857142857142855,42.857142857142854,Delaware,2015 Q3
Darby Boro Police Dept,149,140,0.9395973154362416,93.95973154362416,Delaware,2015 Q3
Darby Township Police Dept,25,16,0.64,64,Delaware,2015 Q3
Delaware County Park Police Dept,13,8,0.6153846153846154,61.53846153846154,Delaware,2015 Q3
"Delaware County, Cid",63,52,0.8253968253968254,82.53968253968253,Delaware,2015 Q3
"Dept Corrections, Central",,,,,,
East Lansdowne Boro Police Dept,7,4,0.5714285714285714,57.14285714285714,Delaware,2015 Q3
Eddystone Police Dept,86,81,0.9418604651162791,94.18604651162791,Delaware,2015 Q3
Folcroft Boro Police Dept,26,24,0.9230769230769231,92.3076923076923,Delaware,2015 Q3
Glenolden Boro Police Dept,39,32,0.8205128205128205,82.05128205128204,Delaware,2015 Q3
Greencastle Police Dept,1,1,1,100,Delaware,2015 Q3
Haverford Township Police Dept,86,84,0.9767441860465116,97.67441860465115,Delaware,2015 Q3
Lansdowne Boro Police Dept,23,18,0.782608695652174,78.26086956521739,Delaware,2015 Q3
Lower Chichester Township Police Dept,21,13,0.6190476190476191,61.904761904761905,Delaware,2015 Q3
Marcus Hook Boro Police Dept,40,36,0.9,90,Delaware,2015 Q3
Marple Township Police Dept,58,46,0.7931034482758621,79.3103448275862,Delaware,2015 Q3
Media Boro Police Dept,34,27,0.7941176470588235,79.41176470588235,Delaware,2015 Q3
Millbourne Boro Police Dept,,,,,,
Morton Police Dept,21,19,0.9047619047619048,90.47619047619048,Delaware,2015 Q3
Nether Providence Police Dept,30,23,0.7666666666666667,76.66666666666667,Delaware,2015 Q3
Newtown Township Police Dept,17,13,0.7647058823529411,76.47058823529412,Delaware,2015 Q3
Norwood Boro Police Dept,12,7,0.5833333333333334,58.333333333333336,Delaware,2015 Q3
Parkside Boro Police Dept,2,1,0.5,50,Delaware,2015 Q3
Prospect Park Police Dept,23,20,0.8695652173913043,86.95652173913044,Delaware,2015 Q3
Radnor Township Police Dept,60,45,0.75,75,Delaware,2015 Q3
Ridley Park Police Dept,13,9,0.6923076923076923,69.23076923076923,Delaware,2015 Q3
Ridley Township Police Dept,87,69,0.7931034482758621,79.3103448275862,Delaware,2015 Q3
Sharon Hill Boro Police Dept,23,19,0.8260869565217391,82.6086956521739,Delaware,2015 Q3
Springfield Police Dept,81,74,0.9135802469135802,91.35802469135803,Delaware,2015 Q3
Swarthmore Police Dept,4,4,1,100,Delaware,2015 Q3
Tinicum Township Police Dept,51,42,0.8235294117647058,82.35294117647058,Delaware,2015 Q3
Trainer Boro Police Dept,21,10,0.47619047619047616,47.61904761904761,Delaware,2015 Q3
Upland Police Dept,20,9,0.45,45,Delaware,2015 Q3
Upper Chichester Township Police Dept,97,82,0.845360824742268,84.5360824742268,Delaware,2015 Q3
Upper Darby Twn Police Dept,328,297,0.9054878048780488,90.54878048780488,Delaware,2015 Q3
Upper Providence Township Police Dept,38,34,0.8947368421052632,89.47368421052632,Delaware,2015 Q3
West Chester Boro Police Dept,,,,,,
Yeadon Boro Police Dept,43,30,0.6976744186046512,69.76744186046511,Delaware,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
