Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Albion Boro Police Dept,5,3,0.6,60,Erie,2015 Q1
Corry City Police Dept,45,39,0.8666666666666667,86.66666666666667,Erie,2015 Q1
Edinboro Police Dept,11,9,0.8181818181818182,81.81818181818183,Erie,2015 Q1
"Edinboro, University PD",4,2,0.5,50,Erie,2015 Q1
Erie City Police Dept,424,274,0.6462264150943396,64.62264150943396,Erie,2015 Q1
Erie County Sheriff,5,3,0.6,60,Erie,2015 Q1
"Erie County, Detectives",5,0,0,0,Erie,2015 Q1
"Erie County, Prison",4,2,0.5,50,Erie,2015 Q1
Erie SD Police Dept,1,0,0,0,Erie,2015 Q1
Girard Boro Police Dept,8,4,0.5,50,Erie,2015 Q1
Lake City Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Erie,2015 Q1
Lawrence Park Township Police Dept,17,17,1,100,Erie,2015 Q1
Millcreek Police Dept,178,157,0.8820224719101124,88.20224719101124,Erie,2015 Q1
North East Boro Police Dept,22,16,0.7272727272727273,72.72727272727273,Erie,2015 Q1
"Penn State Behrend, University PD",4,4,1,100,Erie,2015 Q1
Union City Boro Police Dept,6,6,1,100,Erie,2015 Q1
Wesleyville Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Erie,2015 Q1
