Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Brownsville Police Dept,8,4,0.5,50,Fayette,2015 Q4
Connellsville Police Dept,93,86,0.9247311827956989,92.47311827956989,Fayette,2015 Q4
"Dept Corrections, Central",,,,,,
Dunbar Boro Police Dept,1,1,1,100,Fayette,2015 Q4
Fairchance Boro Police Dept,1,1,1,100,Fayette,2015 Q4
Fayette City Boro Police Dept,2,2,1,100,Fayette,2015 Q4
Fayette County District Attorney,8,7,0.875,87.5,Fayette,2015 Q4
Luzerne Township Police Dept,1,0,0,0,Fayette,2015 Q4
Masontown Police Dept,12,10,0.8333333333333334,83.33333333333334,Fayette,2015 Q4
Perryopolis Police Dept,2,1,0.5,50,Fayette,2015 Q4
Point Marion Boro Police Dept,1,1,1,100,Fayette,2015 Q4
Redstone Township Police Dept,20,16,0.8,80,Fayette,2015 Q4
S Connellsville Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Fayette,2015 Q4
Southwest Regl Police Dept,4,2,0.5,50,Fayette,2015 Q4
Uniontown City Police Dept,80,72,0.9,90,Fayette,2015 Q4
Washington Township Police Dept,7,6,0.8571428571428571,85.71428571428571,Fayette,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
