Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Blairsville Borough Police Dept,6,4,0.6666666666666666,66.66666666666666,Indiana,2015 Q2
Cherry Tree Boro Police Dept,,,,,,
Clymer Boro Police Dept,,,,,,
Homer City Boro Police Dept,4,0,0,0,Indiana,2015 Q2
Indiana Boro Police Dept,105,102,0.9714285714285714,97.14285714285714,Indiana,2015 Q2
Indiana County Sheriff,,,,,,
"Indiana County, Detectives",8,5,0.625,62.5,Indiana,2015 Q2
"Indiana, University PD",17,16,0.9411764705882353,94.11764705882352,Indiana,2015 Q2
Saltsburg Boro Police Dept,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
