Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Brockway Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Jefferson,2015 Q4
Brookville Boro Police Dept,34,23,0.6764705882352942,67.64705882352942,Jefferson,2015 Q4
"Indiana, University PD",,,,,,
Jefferson County District Attorney,17,10,0.5882352941176471,58.82352941176471,Jefferson,2015 Q4
Jefferson County Sheriff,,,,,,
Punxsutawney Boro Police Dept,32,28,0.875,87.5,Jefferson,2015 Q4
Reynoldsville Boro Police Dept,15,12,0.8,80,Jefferson,2015 Q4
Sykesville Boro Police Dept,2,1,0.5,50,Jefferson,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
