Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Archbald Boro Police Dept,10,9,0.9,90,Lackawanna,2015 Q2
Blakely Boro Police Dept,30,24,0.8,80,Lackawanna,2015 Q2
Carbondale City Police Dept,35,32,0.9142857142857143,91.42857142857143,Lackawanna,2015 Q2
Carbondale Township Police Dept,,,,,,
Clarks Summit Boro Police Dept,7,7,1,100,Lackawanna,2015 Q2
Covington Township Police Dept,11,8,0.7272727272727273,72.72727272727273,Lackawanna,2015 Q2
Dalton Boro Police Dept,,,,,,
Dickson City Police Dept,58,49,0.8448275862068966,84.48275862068965,Lackawanna,2015 Q2
Dunmore Boro Police Dept,41,36,0.8780487804878049,87.8048780487805,Lackawanna,2015 Q2
Duryea Boro Police Dept,,,,,,
Forest City Boro Police Dept,1,1,1,100,Lackawanna,2015 Q2
Greenfield Township Police Dept,3,2,0.6666666666666666,66.66666666666666,Lackawanna,2015 Q2
Jefferson Township Police Dept,2,2,1,100,Lackawanna,2015 Q2
Jermyn Boro Police Dept,4,3,0.75,75,Lackawanna,2015 Q2
Jessup Boro Police Dept,12,8,0.6666666666666666,66.66666666666666,Lackawanna,2015 Q2
Lackawanna County District Attorney,14,11,0.7857142857142857,78.57142857142857,Lackawanna,2015 Q2
Lackawanna County Sheriff,4,4,1,100,Lackawanna,2015 Q2
"Lackawanna County, Detectives",78,70,0.8974358974358975,89.74358974358975,Lackawanna,2015 Q2
Mayfield Boro Police Dept,3,3,1,100,Lackawanna,2015 Q2
Moosic Police Dept,8,7,0.875,87.5,Lackawanna,2015 Q2
Moscow Boro Police Dept,6,6,1,100,Lackawanna,2015 Q2
Old Forge Police Dept,29,23,0.7931034482758621,79.3103448275862,Lackawanna,2015 Q2
Olyphant Boro Police Dept,20,14,0.7,70,Lackawanna,2015 Q2
Roaringbrook Township Police Dept,,,,,,
Scott Township Police Dept,1,1,1,100,Lackawanna,2015 Q2
Scranton City Police Dept,352,305,0.8664772727272727,86.64772727272727,Lackawanna,2015 Q2
South Abington Township Police Dept,35,27,0.7714285714285715,77.14285714285715,Lackawanna,2015 Q2
Taylor Boro Police Dept,52,46,0.8846153846153846,88.46153846153845,Lackawanna,2015 Q2
Throop Boro Police Dept,11,11,1,100,Lackawanna,2015 Q2
Univ Of Scranton Police Dept,3,2,0.6666666666666666,66.66666666666666,Lackawanna,2015 Q2
Waverly Township Police Dept,1,1,1,100,Lackawanna,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
