Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Akron Boro Police Dept,8,4,0.5,50,Lancaster,2015 Q3
Christiana Boro Police Dept,1,0,0,0,Lancaster,2015 Q3
Columbia Boro Police Dept,59,27,0.4576271186440678,45.76271186440678,Lancaster,2015 Q3
East Cocalico Township Police Dept,35,34,0.9714285714285714,97.14285714285714,Lancaster,2015 Q3
East Earl Township Police Dept,28,21,0.75,75,Lancaster,2015 Q3
East Hempfield Township Police Dept,62,55,0.8870967741935484,88.70967741935483,Lancaster,2015 Q3
East Lampeter Township Police Dept,101,85,0.8415841584158416,84.15841584158416,Lancaster,2015 Q3
Elizabethtown Boro Police Dept,38,30,0.7894736842105263,78.94736842105263,Lancaster,2015 Q3
Ephrata Police Dept,82,57,0.6951219512195121,69.51219512195121,Lancaster,2015 Q3
Lancaster County Sheriff,3,0,0,0,Lancaster,2015 Q3
"Lancaster County, Detectives",17,7,0.4117647058823529,41.17647058823529,Lancaster,2015 Q3
"Lancaster County, District Attorney",12,7,0.5833333333333334,58.333333333333336,Lancaster,2015 Q3
Lancaster Police Dept,434,365,0.8410138248847926,84.10138248847926,Lancaster,2015 Q3
Lititz Boro Police Dept,13,11,0.8461538461538461,84.61538461538461,Lancaster,2015 Q3
Manheim Boro Police Dept,73,28,0.3835616438356164,38.35616438356164,Lancaster,2015 Q3
Manheim Township Police Dept,276,244,0.8840579710144928,88.40579710144928,Lancaster,2015 Q3
Manor Township Police Dept,43,29,0.6744186046511628,67.44186046511628,Lancaster,2015 Q3
Millersville Boro Police Dept,28,23,0.8214285714285714,82.14285714285714,Lancaster,2015 Q3
Millersville Unv Police Dept,2,2,1,100,Lancaster,2015 Q3
Mount Joy Boro Police Dept,44,22,0.5,50,Lancaster,2015 Q3
New Holland Police Dept,44,41,0.9318181818181818,93.18181818181817,Lancaster,2015 Q3
Norfolk Southern Police Dept,1,1,1,100,Lancaster,2015 Q3
Northern Lancaster County Regional Police Department,45,33,0.7333333333333333,73.33333333333333,Lancaster,2015 Q3
Northwest Regl Police Dept,65,51,0.7846153846153846,78.46153846153847,Lancaster,2015 Q3
Quarryville Boro Police Dept,16,11,0.6875,68.75,Lancaster,2015 Q3
Southern Regional Police Dept,30,24,0.8,80,Lancaster,2015 Q3
Strasburg Boro Police Dept,2,1,0.5,50,Lancaster,2015 Q3
Susquehanna Regional Police Dept,47,29,0.6170212765957447,61.702127659574465,Lancaster,2015 Q3
West Earl Township Police Dept,4,4,1,100,Lancaster,2015 Q3
West Hempfield Township Police Dept,41,17,0.4146341463414634,41.46341463414634,Lancaster,2015 Q3
West Lampeter Township Police Dept,27,18,0.6666666666666666,66.66666666666666,Lancaster,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
