Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Akron Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Lancaster,2015 Q4
Caln Township Police Dept,1,1,1,100,Lancaster,2015 Q4
Columbia Boro Police Dept,68,40,0.5882352941176471,58.82352941176471,Lancaster,2015 Q4
East Cocalico Township Police Dept,32,27,0.84375,84.375,Lancaster,2015 Q4
East Earl Township Police Dept,23,22,0.9565217391304348,95.65217391304348,Lancaster,2015 Q4
East Hempfield Township Police Dept,46,40,0.8695652173913043,86.95652173913044,Lancaster,2015 Q4
East Lampeter Township Police Dept,114,102,0.8947368421052632,89.47368421052632,Lancaster,2015 Q4
Elizabethtown Boro Police Dept,38,33,0.868421052631579,86.8421052631579,Lancaster,2015 Q4
Ephrata Police Dept,78,50,0.6410256410256411,64.1025641025641,Lancaster,2015 Q4
"Lancaster County, Detectives",32,10,0.3125,31.25,Lancaster,2015 Q4
"Lancaster County, District Attorney",6,4,0.6666666666666666,66.66666666666666,Lancaster,2015 Q4
Lancaster Police Dept,478,409,0.8556485355648535,85.56485355648536,Lancaster,2015 Q4
Lititz Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Lancaster,2015 Q4
Manheim Boro Police Dept,64,31,0.484375,48.4375,Lancaster,2015 Q4
Manheim Township Police Dept,234,205,0.8760683760683761,87.6068376068376,Lancaster,2015 Q4
Manor Township Police Dept,49,31,0.6326530612244898,63.26530612244898,Lancaster,2015 Q4
Millersville Boro Police Dept,48,34,0.7083333333333334,70.83333333333334,Lancaster,2015 Q4
Millersville Unv Police Dept,3,1,0.3333333333333333,33.33333333333333,Lancaster,2015 Q4
Mount Joy Boro Police Dept,36,24,0.6666666666666666,66.66666666666666,Lancaster,2015 Q4
New Holland Police Dept,44,36,0.8181818181818182,81.81818181818183,Lancaster,2015 Q4
Northern Lancaster County Regional Police Department,76,62,0.8157894736842105,81.57894736842105,Lancaster,2015 Q4
Northwest Regl Police Dept,65,47,0.7230769230769231,72.3076923076923,Lancaster,2015 Q4
Quarryville Boro Police Dept,24,19,0.7916666666666666,79.16666666666666,Lancaster,2015 Q4
Southern Regional Police Dept,33,21,0.6363636363636364,63.63636363636363,Lancaster,2015 Q4
Strasburg Boro Police Dept,5,3,0.6,60,Lancaster,2015 Q4
Susquehanna Regional Police Dept,36,22,0.6111111111111112,61.111111111111114,Lancaster,2015 Q4
West Earl Township Police Dept,7,7,1,100,Lancaster,2015 Q4
West Hempfield Township Police Dept,44,26,0.5909090909090909,59.09090909090909,Lancaster,2015 Q4
West Lampeter Township Police Dept,23,11,0.4782608695652174,47.82608695652174,Lancaster,2015 Q4
