Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Akron Boro Police Dept,3,3,1,100,Lancaster,2015 Q1
Columbia Boro Police Dept,51,31,0.6078431372549019,60.78431372549019,Lancaster,2015 Q1
East Cocalico Township Police Dept,43,41,0.9534883720930233,95.34883720930233,Lancaster,2015 Q1
East Earl Township Police Dept,25,18,0.72,72,Lancaster,2015 Q1
East Hempfield Township Police Dept,59,55,0.9322033898305084,93.22033898305084,Lancaster,2015 Q1
East Lampeter Township Police Dept,141,121,0.8581560283687943,85.81560283687944,Lancaster,2015 Q1
Elizabethtown Boro Police Dept,58,53,0.9137931034482759,91.37931034482759,Lancaster,2015 Q1
Ephrata Police Dept,74,48,0.6486486486486487,64.86486486486487,Lancaster,2015 Q1
Lancaster County Sheriff,5,1,0.2,20,Lancaster,2015 Q1
"Lancaster County, Detectives",3,0,0,0,Lancaster,2015 Q1
"Lancaster County, District Attorney",4,0,0,0,Lancaster,2015 Q1
Lancaster Police Dept,429,380,0.8857808857808858,88.57808857808858,Lancaster,2015 Q1
Lititz Boro Police Dept,8,4,0.5,50,Lancaster,2015 Q1
Manheim Boro Police Dept,50,36,0.72,72,Lancaster,2015 Q1
Manheim Township Police Dept,233,204,0.8755364806866953,87.55364806866953,Lancaster,2015 Q1
Manor Township Police Dept,35,28,0.8,80,Lancaster,2015 Q1
Millersville Boro Police Dept,20,20,1,100,Lancaster,2015 Q1
Millersville Unv Police Dept,4,3,0.75,75,Lancaster,2015 Q1
Mount Joy Boro Police Dept,37,14,0.3783783783783784,37.83783783783784,Lancaster,2015 Q1
New Holland Police Dept,24,22,0.9166666666666666,91.66666666666666,Lancaster,2015 Q1
Northern Lancaster County Regional Police Department,43,31,0.7209302325581395,72.09302325581395,Lancaster,2015 Q1
Northwest Regl Police Dept,79,69,0.8734177215189873,87.34177215189874,Lancaster,2015 Q1
Penn Township Police Dept,1,1,1,100,Lancaster,2015 Q1
Quarryville Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Lancaster,2015 Q1
Southern Regional Police Dept,17,13,0.7647058823529411,76.47058823529412,Lancaster,2015 Q1
Strasburg Boro Police Dept,4,4,1,100,Lancaster,2015 Q1
Susquehanna Regional Police Dept,23,13,0.5652173913043478,56.52173913043478,Lancaster,2015 Q1
West Earl Township Police Dept,6,3,0.5,50,Lancaster,2015 Q1
West Hempfield Township Police Dept,56,33,0.5892857142857143,58.92857142857143,Lancaster,2015 Q1
West Lampeter Township Police Dept,22,15,0.6818181818181818,68.18181818181817,Lancaster,2015 Q1
