Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bessemer Boro Police Dept,2,2,1,100,Lawrence,2015 Q3
Ellwood City Boro Police Dept,25,22,0.88,88,Lawrence,2015 Q3
Hickory Township Police Dept,8,5,0.625,62.5,Lawrence,2015 Q3
Lawrence County District Attorney,8,3,0.375,37.5,Lawrence,2015 Q3
Lawrence County Sheriff,1,1,1,100,Lawrence,2015 Q3
Mahoning Township Police Dept,5,3,0.6,60,Lawrence,2015 Q3
Neshannock Township Police Dept,20,15,0.75,75,Lawrence,2015 Q3
New Beaver Boro Police Dept,2,0,0,0,Lawrence,2015 Q3
New Castle City Police Dept,272,198,0.7279411764705882,72.79411764705883,Lawrence,2015 Q3
New Wilmington Boro Police Dept,2,2,1,100,Lawrence,2015 Q3
North Beaver Township Police Dept,1,1,1,100,Lawrence,2015 Q3
Pulaski Township Police Department,7,6,0.8571428571428571,85.71428571428571,Lawrence,2015 Q3
Shenango Township Police Dept,43,28,0.6511627906976745,65.11627906976744,Lawrence,2015 Q3
Union Township Police Dept,90,70,0.7777777777777778,77.77777777777779,Lawrence,2015 Q3
