Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bessemer Boro Police Dept,1,1,1,100,Lawrence,2015 Q4
Ellwood City Boro Police Dept,33,30,0.9090909090909091,90.9090909090909,Lawrence,2015 Q4
Hickory Township Police Dept,3,2,0.6666666666666666,66.66666666666666,Lawrence,2015 Q4
Lawrence County District Attorney,16,12,0.75,75,Lawrence,2015 Q4
Lawrence County Sheriff,2,2,1,100,Lawrence,2015 Q4
Mahoning Township Police Dept,10,6,0.6,60,Lawrence,2015 Q4
Neshannock Township Police Dept,31,28,0.9032258064516129,90.32258064516128,Lawrence,2015 Q4
New Castle City Police Dept,171,125,0.7309941520467836,73.09941520467837,Lawrence,2015 Q4
New Wilmington Boro Police Dept,2,2,1,100,Lawrence,2015 Q4
Pulaski Township Police Department,9,7,0.7777777777777778,77.77777777777779,Lawrence,2015 Q4
Shenango Township Police Dept,26,20,0.7692307692307693,76.92307692307693,Lawrence,2015 Q4
Union Township Police Dept,102,80,0.7843137254901961,78.43137254901961,Lawrence,2015 Q4
Wampum Boro Police Dept,1,1,1,100,Lawrence,2015 Q4
