Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Annville Township Police Dept,10,10,1,100,Lebanon,2015 Q2
Cleona Boro Police Dept,1,1,1,100,Lebanon,2015 Q2
Cornwall Boro Police Dept,7,7,1,100,Lebanon,2015 Q2
Fort Indiantown Police Dept,4,4,1,100,Lebanon,2015 Q2
Lebanon City Police Dept,190,179,0.9421052631578948,94.21052631578948,Lebanon,2015 Q2
"Lebanon County, Detectives",41,40,0.975609756097561,97.5609756097561,Lebanon,2015 Q2
Millcreek Township Police Dept,3,3,1,100,Lebanon,2015 Q2
N Annville Township Police Dept,1,1,1,100,Lebanon,2015 Q2
N Lebanon Township Police Dept,79,76,0.9620253164556962,96.20253164556962,Lebanon,2015 Q2
N Londonderry Township Police Dept,23,22,0.9565217391304348,95.65217391304348,Lebanon,2015 Q2
North Cornwall Township Police Dept,26,25,0.9615384615384616,96.15384615384616,Lebanon,2015 Q2
Palmyra Boro Police Dept,34,34,1,100,Lebanon,2015 Q2
S Lebanon Township Police Dept,12,12,1,100,Lebanon,2015 Q2
S Londonderry Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Lebanon,2015 Q2
South Annville Township Police Dept,2,2,1,100,Lebanon,2015 Q2
