Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashley Boro Police Dept,22,7,0.3181818181818182,31.818181818181817,Luzerne,2015 Q3
Avoca Boro Police Dept,3,0,0,0,Luzerne,2015 Q3
Butler Township Police Dept,13,11,0.8461538461538461,84.61538461538461,Luzerne,2015 Q3
Courtdale Boro Police Dept,2,0,0,0,Luzerne,2015 Q3
Conyngham Boro Police Dept,,,,,,
Dallas Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Luzerne,2015 Q3
Dallas Township PD,15,12,0.8,80,Luzerne,2015 Q3
"Dept Corrections, Central",,,,,,
Dupont Boro Police Dept,4,0,0,0,Luzerne,2015 Q3
Duryea Boro Police Dept,19,14,0.7368421052631579,73.68421052631578,Luzerne,2015 Q3
Edwardsville Boro Police Dept,38,12,0.3157894736842105,31.57894736842105,Luzerne,2015 Q3
Exeter Boro Police Dept,13,2,0.15384615384615385,15.384615384615385,Luzerne,2015 Q3
Exeter Township Police Dept,1,1,1,100,Luzerne,2015 Q3
Fairview Township Police Dept,5,1,0.2,20,Luzerne,2015 Q3
Forty Fort Pd Police Dept,14,3,0.21428571428571427,21.428571428571427,Luzerne,2015 Q3
Freeland Boro Police Dept,7,4,0.5714285714285714,57.14285714285714,Luzerne,2015 Q3
Hanover Township Police Dept,38,25,0.6578947368421053,65.78947368421053,Luzerne,2015 Q3
Harveys Lake Boro Police Dept,15,8,0.5333333333333333,53.333333333333336,Luzerne,2015 Q3
Hazleton Area School District,,,,,,
Hazleton City Police Dept,119,64,0.5378151260504201,53.78151260504202,Luzerne,2015 Q3
Hughestown Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Luzerne,2015 Q3
Jackson Township Police Dept,5,2,0.4,40,Luzerne,2015 Q3
Jenkins Township Police Dept,9,9,1,100,Luzerne,2015 Q3
Kingston Boro Police Dept,113,89,0.7876106194690266,78.76106194690266,Luzerne,2015 Q3
Kingston Township Police Dept,28,18,0.6428571428571429,64.28571428571429,Luzerne,2015 Q3
Laflin Boro Police Dept,,,,,,
Larksville Boro Police Dept,16,6,0.375,37.5,Luzerne,2015 Q3
Lehman Township Police Dept,3,0,0,0,Luzerne,2015 Q3
Luzerne Boro Police Dept,13,4,0.3076923076923077,30.76923076923077,Luzerne,2015 Q3
Luzerne County Sheriff,2,0,0,0,Luzerne,2015 Q3
"Luzerne County, Detectives",10,10,1,100,Luzerne,2015 Q3
"Luzerne County, Prison",5,1,0.2,20,Luzerne,2015 Q3
Luzerne Intermediate unit,,,,,,
Nanticoke Dpt Police Dept,52,15,0.28846153846153844,28.846153846153843,Luzerne,2015 Q3
Nescopeck Boro Police Dept,3,0,0,0,Luzerne,2015 Q3
Newport Township Police Dept,39,0,0,0,Luzerne,2015 Q3
"Penn State, University PD",,,,,,
Pittston City Police Dept,75,32,0.4266666666666667,42.66666666666667,Luzerne,2015 Q3
Pittston Township Police Dept,72,44,0.6111111111111112,61.111111111111114,Luzerne,2015 Q3
Plains Township Police Dept,48,26,0.5416666666666666,54.166666666666664,Luzerne,2015 Q3
Plymouth Boro Police Dept,30,1,0.03333333333333333,3.3333333333333335,Luzerne,2015 Q3
Rice Township Police Dept,4,3,0.75,75,Luzerne,2015 Q3
Salem Township Police Dept,1,0,0,0,Luzerne,2015 Q3
Sugar Notch Boro Police Dept,2,1,0.5,50,Luzerne,2015 Q3
Sugarloaf Township Police Dept,12,2,0.16666666666666666,16.666666666666664,Luzerne,2015 Q3
Swoyersville Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Luzerne,2015 Q3
West Hazleton Boro Police Dept,37,15,0.40540540540540543,40.54054054054054,Luzerne,2015 Q3
West Pittston Boro Police Dept,11,10,0.9090909090909091,90.9090909090909,Luzerne,2015 Q3
West Wyoming Boro Police Dept,10,5,0.5,50,Luzerne,2015 Q3
White Haven Boro Police Dept,1,1,1,100,Luzerne,2015 Q3
Wilkes Barre City Police Dept,493,311,0.6308316430020284,63.083164300202846,Luzerne,2015 Q3
Wilkes Barre Township Police Dept,92,73,0.7934782608695652,79.34782608695652,Luzerne,2015 Q3
Wilkes-Barre Area School District,,,,,,
Wright Township Police Dept,9,6,0.6666666666666666,66.66666666666666,Luzerne,2015 Q3
Wyoming Boro Police Dept,17,8,0.47058823529411764,47.05882352941176,Luzerne,2015 Q3
