Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashley Boro Police Dept,20,7,0.35,35,Luzerne,2015 Q1
Avoca Boro Police Dept,13,0,0,0,Luzerne,2015 Q1
Butler Township Police Dept,19,10,0.5263157894736842,52.63157894736842,Luzerne,2015 Q1
Dallas Boro Police Dept,22,18,0.8181818181818182,81.81818181818183,Luzerne,2015 Q1
Dallas Township PD,10,7,0.7,70,Luzerne,2015 Q1
Dupont Boro Police Dept,16,1,0.0625,6.25,Luzerne,2015 Q1
Duryea Boro Police Dept,11,6,0.5454545454545454,54.54545454545454,Luzerne,2015 Q1
Edwardsville Boro Police Dept,33,12,0.36363636363636365,36.36363636363637,Luzerne,2015 Q1
Exeter Boro Police Dept,22,11,0.5,50,Luzerne,2015 Q1
Exeter Township Police Dept,4,1,0.25,25,Luzerne,2015 Q1
Fairview Township Police Dept,13,8,0.6153846153846154,61.53846153846154,Luzerne,2015 Q1
Forty Fort Pd Police Dept,15,12,0.8,80,Luzerne,2015 Q1
Freeland Boro Police Dept,19,10,0.5263157894736842,52.63157894736842,Luzerne,2015 Q1
Hanover Township Police Dept,59,42,0.711864406779661,71.1864406779661,Luzerne,2015 Q1
Harveys Lake Boro Police Dept,17,12,0.7058823529411765,70.58823529411765,Luzerne,2015 Q1
Hazleton Area School District,1,0,0,0,Luzerne,2015 Q1
Hazleton City Police Dept,119,77,0.6470588235294118,64.70588235294117,Luzerne,2015 Q1
Hughestown Boro Police Dept,4,1,0.25,25,Luzerne,2015 Q1
Jackson Township Police Dept,7,3,0.42857142857142855,42.857142857142854,Luzerne,2015 Q1
Jenkins Township Police Dept,13,10,0.7692307692307693,76.92307692307693,Luzerne,2015 Q1
Kingston Boro Police Dept,64,45,0.703125,70.3125,Luzerne,2015 Q1
Kingston Township Police Dept,20,17,0.85,85,Luzerne,2015 Q1
Laflin Boro Police Dept,1,0,0,0,Luzerne,2015 Q1
Larksville Boro Police Dept,9,6,0.6666666666666666,66.66666666666666,Luzerne,2015 Q1
Lehman Township Police Dept,5,5,1,100,Luzerne,2015 Q1
Luzerne Boro Police Dept,8,2,0.25,25,Luzerne,2015 Q1
Luzerne County Sheriff,1,0,0,0,Luzerne,2015 Q1
"Luzerne County, Detectives",21,16,0.7619047619047619,76.19047619047619,Luzerne,2015 Q1
"Luzerne County, Prison",8,0,0,0,Luzerne,2015 Q1
Nanticoke Dpt Police Dept,61,19,0.3114754098360656,31.147540983606557,Luzerne,2015 Q1
Nescopeck Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Luzerne,2015 Q1
Newport Township Police Dept,23,1,0.043478260869565216,4.3478260869565215,Luzerne,2015 Q1
"Penn State, University PD",1,0,0,0,Luzerne,2015 Q1
Pittston City Police Dept,42,20,0.47619047619047616,47.61904761904761,Luzerne,2015 Q1
Pittston Township Police Dept,34,17,0.5,50,Luzerne,2015 Q1
Plains Township Police Dept,66,41,0.6212121212121212,62.121212121212125,Luzerne,2015 Q1
Plymouth Boro Police Dept,24,5,0.20833333333333334,20.833333333333336,Luzerne,2015 Q1
Rice Township Police Dept,4,2,0.5,50,Luzerne,2015 Q1
Salem Township Police Dept,16,9,0.5625,56.25,Luzerne,2015 Q1
Sugar Notch Boro Police Dept,1,0,0,0,Luzerne,2015 Q1
Sugarloaf Township Police Dept,21,11,0.5238095238095238,52.38095238095239,Luzerne,2015 Q1
Swoyersville Boro Police Dept,5,5,1,100,Luzerne,2015 Q1
West Hazleton Boro Police Dept,25,13,0.52,52,Luzerne,2015 Q1
West Pittston Boro Police Dept,15,12,0.8,80,Luzerne,2015 Q1
West Wyoming Boro Police Dept,1,0,0,0,Luzerne,2015 Q1
White Haven Boro Police Dept,4,2,0.5,50,Luzerne,2015 Q1
Wilkes Barre City Police Dept,385,220,0.5714285714285714,57.14285714285714,Luzerne,2015 Q1
Wilkes Barre Township Police Dept,67,51,0.7611940298507462,76.11940298507463,Luzerne,2015 Q1
Wilkes-Barre Area School District,2,1,0.5,50,Luzerne,2015 Q1
Wright Township Police Dept,13,8,0.6153846153846154,61.53846153846154,Luzerne,2015 Q1
Wyoming Boro Police Dept,12,7,0.5833333333333334,58.333333333333336,Luzerne,2015 Q1
