Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Duboistown Boro Police Dept,2,2,1,100,Lycoming,2015 Q2
Hughesville Boro Police Dept,4,4,1,100,Lycoming,2015 Q2
Lycoming County Sheriff,1,1,1,100,Lycoming,2015 Q2
"Lycoming County, Detectives",18,16,0.8888888888888888,88.88888888888889,Lycoming,2015 Q2
Montgomery Boro Police Dept,2,2,1,100,Lycoming,2015 Q2
Montoursville Boro Police Dept,59,55,0.9322033898305084,93.22033898305084,Lycoming,2015 Q2
Muncy Boro Police Dept,10,10,1,100,Lycoming,2015 Q2
Muncy Township Police Dept,27,24,0.8888888888888888,88.88888888888889,Lycoming,2015 Q2
Old Lycoming Township Police Dept,27,24,0.8888888888888888,88.88888888888889,Lycoming,2015 Q2
"Penna Coll Of Tech, College PD",10,10,1,100,Lycoming,2015 Q2
S Williamsport Police Dept,15,15,1,100,Lycoming,2015 Q2
Tiadaghton Valley,17,17,1,100,Lycoming,2015 Q2
Williamsport City Police Dept,176,138,0.7840909090909091,78.4090909090909,Lycoming,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
