Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Duboistown Boro Police Dept,8,8,1,100,Lycoming,2015 Q1
Hughesville Boro Police Dept,13,13,1,100,Lycoming,2015 Q1
Lycoming County Sheriff,2,2,1,100,Lycoming,2015 Q1
"Lycoming County, Detectives",15,12,0.8,80,Lycoming,2015 Q1
Montgomery Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Lycoming,2015 Q1
Montoursville Boro Police Dept,27,27,1,100,Lycoming,2015 Q1
Muncy Boro Police Dept,10,10,1,100,Lycoming,2015 Q1
Muncy Township Police Dept,22,22,1,100,Lycoming,2015 Q1
Old Lycoming Township Police Dept,35,34,0.9714285714285714,97.14285714285714,Lycoming,2015 Q1
"Penna Coll Of Tech, College PD",26,26,1,100,Lycoming,2015 Q1
S Williamsport Police Dept,12,11,0.9166666666666666,91.66666666666666,Lycoming,2015 Q1
Tiadaghton Valley,15,12,0.8,80,Lycoming,2015 Q1
Williamsport City Police Dept,207,172,0.8309178743961353,83.09178743961353,Lycoming,2015 Q1
