Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Duboistown Boro Police Dept,2,2,1,100,Lycoming,2015 Q4
Hughesville Boro Police Dept,2,2,1,100,Lycoming,2015 Q4
"Lycoming County, Detectives",23,22,0.9565217391304348,95.65217391304348,Lycoming,2015 Q4
Montgomery Boro Police Dept,2,2,1,100,Lycoming,2015 Q4
Montoursville Boro Police Dept,34,30,0.8823529411764706,88.23529411764706,Lycoming,2015 Q4
Muncy Boro Police Dept,2,2,1,100,Lycoming,2015 Q4
Muncy Township Police Dept,12,12,1,100,Lycoming,2015 Q4
Old Lycoming Township Police Dept,39,36,0.9230769230769231,92.3076923076923,Lycoming,2015 Q4
"Penna Coll Of Tech, College PD",23,21,0.9130434782608695,91.30434782608695,Lycoming,2015 Q4
S Williamsport Police Dept,14,13,0.9285714285714286,92.85714285714286,Lycoming,2015 Q4
Tiadaghton Valley,23,22,0.9565217391304348,95.65217391304348,Lycoming,2015 Q4
Williamsport City Police Dept,243,200,0.823045267489712,82.3045267489712,Lycoming,2015 Q4
