Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Greenville Boro Police Dept,41,23,0.5609756097560976,56.09756097560976,Mercer,2015 Q3
Grove City Boro Police Dept,28,26,0.9285714285714286,92.85714285714286,Mercer,2015 Q3
Hempfield Township Police Dept,14,10,0.7142857142857143,71.42857142857143,Mercer,2015 Q3
Hermitage City Police Dept,150,131,0.8733333333333333,87.33333333333333,Mercer,2015 Q3
Jefferson Township Pd Police Dept,5,3,0.6,60,Mercer,2015 Q3
Mercer Boro Police Dept,15,3,0.2,20,Mercer,2015 Q3
Mercer County Sheriff,1,0,0,0,Mercer,2015 Q3
"Mercer County, Detectives",1,1,1,100,Mercer,2015 Q3
New Wilmington Boro Police Dept,1,0,0,0,Mercer,2015 Q3
Pymatuning Township Police Dept,11,5,0.45454545454545453,45.45454545454545,Mercer,2015 Q3
Sandy Lake Boro Police Dept,5,5,1,100,Mercer,2015 Q3
Sharon City Police Dept,92,79,0.8586956521739131,85.86956521739131,Mercer,2015 Q3
Sharpsville Boro Police Dept,11,7,0.6363636363636364,63.63636363636363,Mercer,2015 Q3
Shenango Township Police Dept,11,6,0.5454545454545454,54.54545454545454,Mercer,2015 Q3
South Pymatuning Police Dept,11,6,0.5454545454545454,54.54545454545454,Mercer,2015 Q3
Southwest Mercer Reg Police Dept,47,38,0.8085106382978723,80.85106382978722,Mercer,2015 Q3
