Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Abington Police Dept,244,225,0.9221311475409836,92.21311475409836,Montgomery,2015 Q4
Ambler Boro Police Dept,17,15,0.8823529411764706,88.23529411764706,Montgomery,2015 Q4
Bridgeport Boro Police Dept,13,10,0.7692307692307693,76.92307692307693,Montgomery,2015 Q4
Cheltenham Township Police Dept,112,100,0.8928571428571429,89.28571428571429,Montgomery,2015 Q4
Collegeville Boro Police Dept,14,11,0.7857142857142857,78.57142857142857,Montgomery,2015 Q4
Conshohocken Boro Police Dept,23,19,0.8260869565217391,82.6086956521739,Montgomery,2015 Q4
Douglass Township Police Dept,22,13,0.5909090909090909,59.09090909090909,Montgomery,2015 Q4
East Norriton Police Dept,42,38,0.9047619047619048,90.47619047619048,Montgomery,2015 Q4
Franconia Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Montgomery,2015 Q4
Hatboro Boro Police Dept,19,14,0.7368421052631579,73.68421052631578,Montgomery,2015 Q4
Hatfield Police Dept,49,44,0.8979591836734694,89.79591836734694,Montgomery,2015 Q4
Horsham Police Dept,25,21,0.84,84,Montgomery,2015 Q4
Jenkintown Boro Police Dept,12,11,0.9166666666666666,91.66666666666666,Montgomery,2015 Q4
Lansdale Boro Police Dept,43,41,0.9534883720930233,95.34883720930233,Montgomery,2015 Q4
Limerick Township Police Dept,83,76,0.9156626506024096,91.56626506024097,Montgomery,2015 Q4
Lower Frederick Police Dept,3,2,0.6666666666666666,66.66666666666666,Montgomery,2015 Q4
Lower Gwynedd Police Dept,9,7,0.7777777777777778,77.77777777777779,Montgomery,2015 Q4
Lower Merion Police Dept,152,127,0.8355263157894737,83.55263157894737,Montgomery,2015 Q4
Lower Moreland Township Police Dept,77,71,0.922077922077922,92.20779220779221,Montgomery,2015 Q4
Lower Pottsgrove Police Dept,40,33,0.825,82.5,Montgomery,2015 Q4
Lower Providence Police Dept,63,55,0.873015873015873,87.3015873015873,Montgomery,2015 Q4
Lower Salford Township Police Dept,10,9,0.9,90,Montgomery,2015 Q4
Marlborough Township Police Dept,8,6,0.75,75,Montgomery,2015 Q4
"Montgomery County, Detectives",22,18,0.8181818181818182,81.81818181818183,Montgomery,2015 Q4
Montgomery Township Police Dept,114,107,0.9385964912280702,93.85964912280701,Montgomery,2015 Q4
New Hanover Township Police Dept,18,14,0.7777777777777778,77.77777777777779,Montgomery,2015 Q4
Norristown Boro Police Dept,237,198,0.8354430379746836,83.54430379746836,Montgomery,2015 Q4
North Wales Boro Police Dept,14,12,0.8571428571428571,85.71428571428571,Montgomery,2015 Q4
Plymouth Township Police Dept,103,91,0.883495145631068,88.3495145631068,Montgomery,2015 Q4
Pottstown Police Dept,250,217,0.868,86.8,Montgomery,2015 Q4
Rockledge Boro Police Dept,8,6,0.75,75,Montgomery,2015 Q4
Royersford Boro P Police Dept,21,15,0.7142857142857143,71.42857142857143,Montgomery,2015 Q4
Souderton Boro Police Dept,7,7,1,100,Montgomery,2015 Q4
Springfield Township Police Dept,28,18,0.6428571428571429,64.28571428571429,Montgomery,2015 Q4
Telford Boro Police Dept,8,4,0.5,50,Montgomery,2015 Q4
Towamencin Township Police Dept,44,43,0.9772727272727273,97.72727272727273,Montgomery,2015 Q4
Upper Dublin Township Police Dept,44,39,0.8863636363636364,88.63636363636364,Montgomery,2015 Q4
Upper Gwynedd Township Police Dept,19,19,1,100,Montgomery,2015 Q4
Upper Merion Township Police Dept,187,162,0.8663101604278075,86.63101604278076,Montgomery,2015 Q4
Upper Moreland Township Police Dept,130,119,0.9153846153846154,91.53846153846153,Montgomery,2015 Q4
Upper Perkiomen Police Dept,22,15,0.6818181818181818,68.18181818181817,Montgomery,2015 Q4
Upper Pottsgrove Police Dept,12,10,0.8333333333333334,83.33333333333334,Montgomery,2015 Q4
Upper Providence Police Dept,61,36,0.5901639344262295,59.01639344262295,Montgomery,2015 Q4
West Conshohocken Police Dept,8,5,0.625,62.5,Montgomery,2015 Q4
West Norriton Township Police Dept,61,56,0.9180327868852459,91.80327868852459,Montgomery,2015 Q4
West Pottsgrove Police Dept,25,20,0.8,80,Montgomery,2015 Q4
Whitemarsh Township Police Dept,23,16,0.6956521739130435,69.56521739130434,Montgomery,2015 Q4
Whitpain Township Police Dept,28,26,0.9285714285714286,92.85714285714286,Montgomery,2015 Q4
