Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bridgeport Boro Police Dept,24,18,0.75,75,Montgomery,2015 Q1
Collegeville Boro Police Dept,11,10,0.9090909090909091,90.9090909090909,Montgomery,2015 Q1
Douglass Township Police Dept,28,24,0.8571428571428571,85.71428571428571,Montgomery,2015 Q1
Jenkintown Boro Police Dept,16,12,0.75,75,Montgomery,2015 Q1
Limerick Township Police Dept,71,62,0.8732394366197183,87.32394366197182,Montgomery,2015 Q1
Marlborough Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Montgomery,2015 Q1
"Montgomery County, Detectives",48,44,0.9166666666666666,91.66666666666666,Montgomery,2015 Q1
Norristown Boro Police Dept,247,218,0.8825910931174089,88.25910931174089,Montgomery,2015 Q1
Rockledge Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Montgomery,2015 Q1
Royersford Boro P Police Dept,12,10,0.8333333333333334,83.33333333333334,Montgomery,2015 Q1
Springfield Township Police Dept,22,17,0.7727272727272727,77.27272727272727,Montgomery,2015 Q1
Towamencin Township Police Dept,38,34,0.8947368421052632,89.47368421052632,Montgomery,2015 Q1
Upper Merion Township Police Dept,201,174,0.8656716417910447,86.56716417910447,Montgomery,2015 Q1
Upper Perkiomen Police Dept,18,16,0.8888888888888888,88.88888888888889,Montgomery,2015 Q1
West Conshohocken Police Dept,8,4,0.5,50,Montgomery,2015 Q1
Whitemarsh Township Police Dept,25,22,0.88,88,Montgomery,2015 Q1
Abington Police Dept,208,191,0.9182692307692307,91.82692307692307,Montgomery,2015 Q1
Ambler Boro Police Dept,11,10,0.9090909090909091,90.9090909090909,Montgomery,2015 Q1
Bryn Athyn Police Dept,1,0,0,0,Montgomery,2015 Q1
Cheltenham Township Police Dept,138,124,0.8985507246376812,89.85507246376811,Montgomery,2015 Q1
Franconia Township Police Dept,6,6,1,100,Montgomery,2015 Q1
Hatfield Police Dept,62,59,0.9516129032258065,95.16129032258065,Montgomery,2015 Q1
Lower Merion Police Dept,191,170,0.8900523560209425,89.00523560209425,Montgomery,2015 Q1
Lower Pottsgrove Police Dept,48,44,0.9166666666666666,91.66666666666666,Montgomery,2015 Q1
North Wales Boro Police Dept,5,3,0.6,60,Montgomery,2015 Q1
Souderton Boro Police Dept,6,6,1,100,Montgomery,2015 Q1
Telford Boro Police Dept,8,7,0.875,87.5,Montgomery,2015 Q1
Upper Dublin Township Police Dept,30,23,0.7666666666666667,76.66666666666667,Montgomery,2015 Q1
Upper Gwynedd Township Police Dept,25,23,0.92,92,Montgomery,2015 Q1
Upper Pottsgrove Police Dept,10,10,1,100,Montgomery,2015 Q1
Upper Providence Police Dept,56,42,0.75,75,Montgomery,2015 Q1
West Norriton Township Police Dept,73,70,0.958904109589041,95.8904109589041,Montgomery,2015 Q1
West Pottsgrove Police Dept,32,23,0.71875,71.875,Montgomery,2015 Q1
Conshohocken Boro Police Dept,20,14,0.7,70,Montgomery,2015 Q1
East Norriton Police Dept,44,40,0.9090909090909091,90.9090909090909,Montgomery,2015 Q1
Hatboro Boro Police Dept,25,15,0.6,60,Montgomery,2015 Q1
Horsham Police Dept,29,26,0.896551724137931,89.65517241379311,Montgomery,2015 Q1
Lansdale Boro Police Dept,49,45,0.9183673469387755,91.83673469387756,Montgomery,2015 Q1
Lower Frederick Police Dept,4,4,1,100,Montgomery,2015 Q1
Lower Gwynedd Police Dept,9,7,0.7777777777777778,77.77777777777779,Montgomery,2015 Q1
Lower Moreland Township Police Dept,53,49,0.9245283018867925,92.45283018867924,Montgomery,2015 Q1
Lower Providence Police Dept,57,53,0.9298245614035088,92.98245614035088,Montgomery,2015 Q1
Lower Salford Township Police Dept,36,31,0.8611111111111112,86.11111111111111,Montgomery,2015 Q1
Montgomery Township Police Dept,166,158,0.9518072289156626,95.18072289156626,Montgomery,2015 Q1
New Hanover Township Police Dept,12,10,0.8333333333333334,83.33333333333334,Montgomery,2015 Q1
Plymouth Township Police Dept,105,88,0.8380952380952381,83.80952380952381,Montgomery,2015 Q1
Pottstown Police Dept,281,255,0.9074733096085409,90.74733096085409,Montgomery,2015 Q1
Upper Moreland Township Police Dept,144,140,0.9722222222222222,97.22222222222221,Montgomery,2015 Q1
Whitpain Township Police Dept,46,38,0.8260869565217391,82.6086956521739,Montgomery,2015 Q1
