Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Coal Township Police Dept,43,42,0.9767441860465116,97.67441860465115,Northumberland,2015 Q2
Kulpmont Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Northumberland,2015 Q2
Milton Boro Police Dept,29,28,0.9655172413793104,96.55172413793103,Northumberland,2015 Q2
Mount Carmel Boro Police Dept,31,24,0.7741935483870968,77.41935483870968,Northumberland,2015 Q2
Mount Carmel Township Police Dept,16,14,0.875,87.5,Northumberland,2015 Q2
Northumberland Boro Police Dept,14,8,0.5714285714285714,57.14285714285714,Northumberland,2015 Q2
Northumberland District Attorney,4,3,0.75,75,Northumberland,2015 Q2
Point Township Police Dept,18,14,0.7777777777777778,77.77777777777779,Northumberland,2015 Q2
Ralpho Township Police Dept,8,5,0.625,62.5,Northumberland,2015 Q2
Riverside Boro Police Dept,3,3,1,100,Northumberland,2015 Q2
Shamokin Police Dept,79,30,0.379746835443038,37.9746835443038,Northumberland,2015 Q2
Sunbury City Police Dept,51,26,0.5098039215686274,50.98039215686274,Northumberland,2015 Q2
Watsontown Police Dept,14,12,0.8571428571428571,85.71428571428571,Northumberland,2015 Q2
