Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashland Boro Police Dept,37,31,0.8378378378378378,83.78378378378379,Schuylkill,2015 Q3
Branch Township Police Dept,2,1,0.5,50,Schuylkill,2015 Q3
Butler Township Police Dept,15,13,0.8666666666666667,86.66666666666667,Schuylkill,2015 Q3
Cass Township Police Dept,10,7,0.7,70,Schuylkill,2015 Q3
Coaldale Police Dept,18,11,0.6111111111111112,61.111111111111114,Schuylkill,2015 Q3
East Union Township Police Dept,1,1,1,100,Schuylkill,2015 Q3
Foster Township Police Department,4,4,1,100,Schuylkill,2015 Q3
Frackville Boro Police Dept,37,31,0.8378378378378378,83.78378378378379,Schuylkill,2015 Q3
Girardville Police Dept,3,2,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q3
Hegins Township Police Dept,3,3,1,100,Schuylkill,2015 Q3
Kline Township Police Dept,4,3,0.75,75,Schuylkill,2015 Q3
Mahanoy City Police Dept,37,19,0.5135135135135135,51.35135135135135,Schuylkill,2015 Q3
Mahanoy Township Police Dept,3,2,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q3
Mcadoo Police Dept,14,8,0.5714285714285714,57.14285714285714,Schuylkill,2015 Q3
Minersville Police Dept,33,22,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q3
New Castle Township Police Dept,1,1,1,100,Schuylkill,2015 Q3
New Philadelphia Police Dept,2,0,0,0,Schuylkill,2015 Q3
Orwigsburg Police Dept,9,7,0.7777777777777778,77.77777777777779,Schuylkill,2015 Q3
Pine Grove Boro Police Dept,3,3,1,100,Schuylkill,2015 Q3
Port Carbon Police Dept,8,4,0.5,50,Schuylkill,2015 Q3
Pottsville Police Dept,135,82,0.6074074074074074,60.74074074074074,Schuylkill,2015 Q3
Reilly Township Police Dept,1,1,1,100,Schuylkill,2015 Q3
Rush Township Police Dept,49,37,0.7551020408163265,75.51020408163265,Schuylkill,2015 Q3
Ryan Township Police Dept,1,1,1,100,Schuylkill,2015 Q3
Schuylkill County District Attorney,14,11,0.7857142857142857,78.57142857142857,Schuylkill,2015 Q3
Schuylkill County Sheriff,1,1,1,100,Schuylkill,2015 Q3
Schuylkill Haven Police Dept,74,47,0.6351351351351351,63.51351351351351,Schuylkill,2015 Q3
Shenandoah Police Dept,92,46,0.5,50,Schuylkill,2015 Q3
St Clair Police Dept,17,10,0.5882352941176471,58.82352941176471,Schuylkill,2015 Q3
Tamaqua Police Dept,57,38,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q3
Tower City Police Dept,1,0,0,0,Schuylkill,2015 Q3
Tremont Police Dept,1,1,1,100,Schuylkill,2015 Q3
West Mahanoy Township Police Dept,11,5,0.45454545454545453,45.45454545454545,Schuylkill,2015 Q3
West Penn Township Police Dept,9,5,0.5555555555555556,55.55555555555556,Schuylkill,2015 Q3
