Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Middleburg Boro Police Dept,15,15,1,100,Snyder,2015 Q1
Selinsgrove Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Snyder,2015 Q1
Shamokin Dam Boro Police Dept,3,3,1,100,Snyder,2015 Q1
Snyder County District Attorney,4,4,1,100,Snyder,2015 Q1
Snyder County Sheriff,2,2,1,100,Snyder,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
