Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Berlin Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Somerset,2015 Q2
Boswell Boro Police Dept,3,3,1,100,Somerset,2015 Q2
Conemaugh Township Police Dept,18,14,0.7777777777777778,77.77777777777779,Somerset,2015 Q2
Hooversville Boro Police Dept,4,4,1,100,Somerset,2015 Q2
Jennerstown Boro Police Dept,1,1,1,100,Somerset,2015 Q2
Meyersdale Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Somerset,2015 Q2
Paint Township Police Dept,1,1,1,100,Somerset,2015 Q2
Rockwood Boro Police Dept,1,1,1,100,Somerset,2015 Q2
Shade Township Police Dept,5,4,0.8,80,Somerset,2015 Q2
Somerset Boro Police Dept,38,20,0.5263157894736842,52.63157894736842,Somerset,2015 Q2
Somerset County District Attorney,,,,,,
Somerset County Sheriff,11,6,0.5454545454545454,54.54545454545454,Somerset,2015 Q2
"Somerset County, Detectives",1,1,1,100,Somerset,2015 Q2
Summit Township Police Dept,,,,,,
Windber Boro Police Dept,23,23,1,100,Somerset,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
