Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Berlin Boro Police Dept,4,4,1,100,Somerset,2015 Q4
Boswell Boro Police Dept,1,1,1,100,Somerset,2015 Q4
Conemaugh Township Police Dept,9,6,0.6666666666666666,66.66666666666666,Somerset,2015 Q4
Confluence Boro Police Dept,1,1,1,100,Somerset,2015 Q4
Hooversville Boro Police Dept,5,4,0.8,80,Somerset,2015 Q4
Jennerstown Boro Police Dept,2,2,1,100,Somerset,2015 Q4
Meyersdale Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Somerset,2015 Q4
Paint Township Police Dept,3,3,1,100,Somerset,2015 Q4
Rockwood Boro Police Dept,1,1,1,100,Somerset,2015 Q4
Shade Township Police Dept,7,7,1,100,Somerset,2015 Q4
Somerset Boro Police Dept,31,22,0.7096774193548387,70.96774193548387,Somerset,2015 Q4
Somerset County District Attorney,11,10,0.9090909090909091,90.9090909090909,Somerset,2015 Q4
"Somerset County, Detectives",1,1,1,100,Somerset,2015 Q4
Summit Township Police Dept,3,3,1,100,Somerset,2015 Q4
Windber Boro Police Dept,24,22,0.9166666666666666,91.66666666666666,Somerset,2015 Q4
