Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Forest City Boro Police Dept,12,8,0.6666666666666666,66.66666666666666,Susquehanna,2015 Q1
Great Bend Police Department,4,4,1,100,Susquehanna,2015 Q1
Hop Bottom Boro Police Dept,1,0,0,0,Susquehanna,2015 Q1
Lanesboro Boro Police Dept,1,1,1,100,Susquehanna,2015 Q1
Montrose Boro Police Dept,8,2,0.25,25,Susquehanna,2015 Q1
Oakland Boro Police Dept,,,,,Susquehanna,2015 Q2
Silver Lake Township Police Dept,3,3,1,100,Susquehanna,2015 Q1
"Susquehanna County, Detectives",25,22,0.88,88,Susquehanna,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
