Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Blossburg Boro Police Dept,10,5,0.5,50,Tioga,2015 Q4
Elkland Boro Police Dept,6,3,0.5,50,Tioga,2015 Q4
Gaines Township Police Dept,,,,,,
Lawrence Township Police Dept,2,0,0,0,Tioga,2015 Q4
Lawrenceville Boro Police Dept,,,,,,
Mansfield Boro Police Dept,12,6,0.5,50,Tioga,2015 Q4
"Mansfield, University PD",1,1,1,100,Tioga,2015 Q4
Osceola Township Police Dept,2,1,0.5,50,Tioga,2015 Q4
Tioga Boro Police Dept,,,,,,
"Tioga County, Detectives",,,,,,
Wellsboro Boro Police Dept,31,28,0.9032258064516129,90.32258064516128,Tioga,2015 Q4
Westfield Boro Police Dept,13,8,0.6153846153846154,61.53846153846154,Tioga,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
