Agency,Total,Printed,Match Rate Orig,Rate,County,Release
"Bucknell, University",1,1,1,100,Union,2015 Q2
Buffalo Valley Regional Police Department,34,26,0.7647058823529411,76.47058823529412,Union,2015 Q2
Hartleton Boro Police Dept,1,1,1,100,Union,2015 Q2
Mifflinburg Boro Police Dept,16,12,0.75,75,Union,2015 Q2
Union County Sheriff,1,0,0,0,Union,2015 Q2
"Union County, Detectives",1,0,0,0,Union,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
