Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bentleyville Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Washington,2015 Q4
California Boro Police Dept,25,24,0.96,96,Washington,2015 Q4
"California, University PD",8,7,0.875,87.5,Washington,2015 Q4
Canonsburg Boro Police Dept,35,30,0.8571428571428571,85.71428571428571,Washington,2015 Q4
Carroll Township Police Dept,13,11,0.8461538461538461,84.61538461538461,Washington,2015 Q4
Cecil Township Police Dept,32,26,0.8125,81.25,Washington,2015 Q4
Centerville Boro Police Dept,4,4,1,100,Washington,2015 Q4
Charleroi Boro Police Dept,1,0,0,0,Washington,2015 Q4
Charleroi Regional Police Department,71,56,0.7887323943661971,78.87323943661971,Washington,2015 Q4
Chartiers Township Police Dept,11,11,1,100,Washington,2015 Q4
Donegal Township Police Dept,8,8,1,100,Washington,2015 Q4
Donora Police Dept,42,37,0.8809523809523809,88.09523809523809,Washington,2015 Q4
East Bethlehem Township Police Dept,18,17,0.9444444444444444,94.44444444444444,Washington,2015 Q4
Hanover Township Police Dept,9,7,0.7777777777777778,77.77777777777779,Washington,2015 Q4
Houston Borough Police Dept,1,1,1,100,Washington,2015 Q4
McDonald Boro Police Dept,40,36,0.9,90,Washington,2015 Q4
Monongahela City Police Dept,47,42,0.8936170212765957,89.36170212765957,Washington,2015 Q4
Mt Pleasant Township Police Dept,13,11,0.8461538461538461,84.61538461538461,Washington,2015 Q4
North Franklin Township Police Dept,18,14,0.7777777777777778,77.77777777777779,Washington,2015 Q4
North Strabane Township Police Dept,52,50,0.9615384615384616,96.15384615384616,Washington,2015 Q4
Peters Township Police Dept,45,36,0.8,80,Washington,2015 Q4
Resa Regional Police Dept,8,5,0.625,62.5,Washington,2015 Q4
Ringgold School District Police,2,2,1,100,Washington,2015 Q4
Smith Township Police Dept,14,10,0.7142857142857143,71.42857142857143,Washington,2015 Q4
South Strabane Police Dept,130,106,0.8153846153846154,81.53846153846153,Washington,2015 Q4
Southwest Regl Police Dept,5,4,0.8,80,Washington,2015 Q4
Washington City Police Dept,120,90,0.75,75,Washington,2015 Q4
Washington County Sheriff,7,6,0.8571428571428571,85.71428571428571,Washington,2015 Q4
"Washington County, Detectives",28,26,0.9285714285714286,92.85714285714286,Washington,2015 Q4
West Brownsville Police Dept,11,9,0.8181818181818182,81.81818181818183,Washington,2015 Q4
