PDID,county,PD,TP,P,NP,rate
1,Westmoreland,Allegheny County District Attorney,109,70,39,64%
2,Westmoreland,Allegheny Township Police Dept,242,137,105,57%
3,Westmoreland,Arnold City Police Dept,72,26,46,36%
4,Westmoreland,Delmont Boro Police Dept,54,14,40,26%
5,Westmoreland,Derry Boro Police Dept,255,225,30,88%
6,Westmoreland,Greensburg City Police Dept,220,196,24,89%
7,Westmoreland,Harmar Township Police Dept,79,49,30,62%
8,Westmoreland,Irwin Boro Police Dept,156,100,56,64%
9,Westmoreland,Jeannette City Police Dept,95,78,17,82%
10,Westmoreland,Latrobe City Police Dept,45,32,13,71%
11,Westmoreland,Ligonier Boro Police Dept,73,58,15,79%
12,Westmoreland,Ligonier Township Police Dept,93,75,18,81%
13,Westmoreland,Lower Burrell Police Dept,132,97,35,73%
14,Westmoreland,Manor Police Dept,185,100,85,54%
15,Westmoreland,Monessen City Police Dept,178,104,74,58%
16,Westmoreland,Mt Pleasant Borough Police Dept,105,78,27,74%
17,Westmoreland,Murrysville Police Dept,258,211,47,82%
18,Westmoreland,N Belle Vernon Police Dept,262,216,46,82%
19,Westmoreland,N Huntingdon Township Police Dept,302,274,28,91%
20,Westmoreland,New Florence Boro Police Dept,331,284,47,86%
21,Westmoreland,New Kensington Police Dept,157,139,18,89%
22,Westmoreland,Penn Township Police Dept,119,106,13,89%
23,Westmoreland,Rostraver Township Police Dept,187,171,16,91%
