Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny County District Attorney,1,1,1,100,Westmoreland,2015 Q1
Allegheny Township Police Dept,36,22,0.6111111111111112,61.111111111111114,Westmoreland,2015 Q1
Arnold City Police Dept,51,23,0.45098039215686275,45.09803921568628,Westmoreland,2015 Q1
Delmont Boro Police Dept,11,2,0.18181818181818182,18.181818181818183,Westmoreland,2015 Q1
Derry Boro Police Dept,18,10,0.5555555555555556,55.55555555555556,Westmoreland,2015 Q1
Greensburg City Police Dept,113,105,0.9292035398230089,92.92035398230088,Westmoreland,2015 Q1
Harmar Township Police Dept,1,1,1,100,Westmoreland,2015 Q1
Irwin Boro Police Dept,23,16,0.6956521739130435,69.56521739130434,Westmoreland,2015 Q1
Jeannette City Police Dept,35,26,0.7428571428571429,74.28571428571429,Westmoreland,2015 Q1
Latrobe City Police Dept,33,25,0.7575757575757576,75.75757575757575,Westmoreland,2015 Q1
Ligonier Boro Police Dept,3,3,1,100,Westmoreland,2015 Q1
Ligonier Township Police Dept,8,8,1,100,Westmoreland,2015 Q1
Lower Burrell Police Dept,47,42,0.8936170212765957,89.36170212765957,Westmoreland,2015 Q1
Manor Police Dept,15,6,0.4,40,Westmoreland,2015 Q1
Monessen City Police Dept,89,46,0.5168539325842697,51.68539325842697,Westmoreland,2015 Q1
Mt Pleasant Borough Police Dept,13,5,0.38461538461538464,38.46153846153847,Westmoreland,2015 Q1
Murrysville Police Dept,56,47,0.8392857142857143,83.92857142857143,Westmoreland,2015 Q1
N Belle Vernon Police Dept,18,8,0.4444444444444444,44.44444444444444,Westmoreland,2015 Q1
N Huntingdon Township Police Dept,120,114,0.95,95,Westmoreland,2015 Q1
New Florence Boro Police Dept,1,1,1,100,Westmoreland,2015 Q1
New Kensington Police Dept,115,101,0.8782608695652174,87.82608695652175,Westmoreland,2015 Q1
Penn Township Police Dept,48,47,0.9791666666666666,97.91666666666666,Westmoreland,2015 Q1
Rostraver Township Police Dept,118,108,0.9152542372881356,91.52542372881356,Westmoreland,2015 Q1
