Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Dalton Boro Police Dept,3,3,1,100,Wyoming,2015 Q2
Meshoppen Boro Police Dept,14,11,0.7857142857142857,78.57142857142857,Wyoming,2015 Q2
Tunkhannock Boro Police Dept,9,9,1,100,Wyoming,2015 Q2
Tunkhannock Township Police Dept,17,15,0.8823529411764706,88.23529411764706,Wyoming,2015 Q2
"Wyoming County, Detectives",10,8,0.8,80,Wyoming,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
