Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Carroll Township Police Dept,35,33,0.9428571428571428,94.28571428571428,York,2015 Q2
Fairview Township Police Dept,60,54,0.9,90,York,2015 Q2
Hanover Boro Police Dept,137,123,0.8978102189781022,89.78102189781022,York,2015 Q2
Hellam Township Police Dept,36,32,0.8888888888888888,88.88888888888889,York,2015 Q2
Lower Windsor Township Police Dept,21,17,0.8095238095238095,80.95238095238095,York,2015 Q2
Newberry Township Police Dept,55,49,0.8909090909090909,89.0909090909091,York,2015 Q2
North Hopewell Township Police Dept,3,3,1,100,York,2015 Q2
Northeastern Regl Police Dept,33,31,0.9393939393939394,93.93939393939394,York,2015 Q2
Northern York Regl Police Dept,300,292,0.9733333333333334,97.33333333333334,York,2015 Q2
Penn Township Police Dept,56,51,0.9107142857142857,91.07142857142857,York,2015 Q2
Southern Regional Police Dept,40,39,0.975,97.5,York,2015 Q2
Southwestern Regl Police Dept,36,34,0.9444444444444444,94.44444444444444,York,2015 Q2
Spring Garden Township Police Dept,40,39,0.975,97.5,York,2015 Q2
Springettsbury Township Police Dept,235,224,0.9531914893617022,95.31914893617022,York,2015 Q2
West Manchester Township Police Dept,152,134,0.881578947368421,88.1578947368421,York,2015 Q2
West Manheim Township Police Dept,59,54,0.9152542372881356,91.52542372881356,York,2015 Q2
West York Boro Police Dept,61,58,0.9508196721311475,95.08196721311475,York,2015 Q2
Wrightsville Boro Police Dept,23,22,0.9565217391304348,95.65217391304348,York,2015 Q2
York Area Regional Police Dept,157,146,0.9299363057324841,92.99363057324841,York,2015 Q2
York City Police Dept,356,314,0.8820224719101124,88.20224719101124,York,2015 Q2
York County Sheriff,20,18,0.9,90,York,2015 Q2
"York County, Detectives",14,11,0.7857142857142857,78.57142857142857,York,2015 Q2
