Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Carroll Township Police Dept,41,40,0.975609756097561,97.5609756097561,York,2015 Q4
Fairview Township Police Dept,41,39,0.9512195121951219,95.1219512195122,York,2015 Q4
Hanover Boro Police Dept,160,151,0.94375,94.375,York,2015 Q4
Hellam Township Police Dept,31,30,0.967741935483871,96.7741935483871,York,2015 Q4
Lower Windsor Township Police Dept,27,25,0.9259259259259259,92.5925925925926,York,2015 Q4
Newberry Township Police Dept,93,91,0.978494623655914,97.84946236559139,York,2015 Q4
North Hopewell Township Police Dept,1,1,1,100,York,2015 Q4
Northeastern Regl Police Dept,49,48,0.9795918367346939,97.95918367346938,York,2015 Q4
Northern York Regl Police Dept,284,268,0.9436619718309859,94.36619718309859,York,2015 Q4
Penn Township Police Dept,83,79,0.9518072289156626,95.18072289156626,York,2015 Q4
Southern Regional Police Dept,35,30,0.8571428571428571,85.71428571428571,York,2015 Q4
Southwestern Regl Police Dept,37,34,0.918918918918919,91.8918918918919,York,2015 Q4
Spring Garden Township Police Dept,36,33,0.9166666666666666,91.66666666666666,York,2015 Q4
Springettsbury Township Police Dept,246,233,0.9471544715447154,94.71544715447155,York,2015 Q4
West Manchester Township Police Dept,125,112,0.896,89.60000000000001,York,2015 Q4
West Manheim Township Police Dept,82,79,0.9634146341463414,96.34146341463415,York,2015 Q4
West York Boro Police Dept,73,73,1,100,York,2015 Q4
Wrightsville Boro Police Dept,15,15,1,100,York,2015 Q4
York Area Regional Police Dept,157,145,0.9235668789808917,92.35668789808918,York,2015 Q4
York City Police Dept,359,307,0.8551532033426184,85.51532033426183,York,2015 Q4
York County Sheriff,3,3,1,100,York,2015 Q4
"York County, Detectives",10,9,0.9,90,York,2015 Q4
