Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Carroll Township Police Dept,36,36,100%,10000%,York,2015 Q1
Fairview Township Police Dept,36,32,89%,8889%,York,2015 Q1
Hanover Boro Police Dept,121,118,98%,9752%,York,2015 Q1
Hellam Township Police Dept,29,27,93%,9310%,York,2015 Q1
Lower Paxton Township Police Dept,1,1,100%,10000%,York,2015 Q1
Lower Windsor Township Police Dept,22,21,95%,9545%,York,2015 Q1
Newberry Township Police Dept,84,81,96%,9643%,York,2015 Q1
North Hopewell Township Police Dept,1,1,100%,10000%,York,2015 Q1
Northeastern Regl Police Dept,57,53,93%,9298%,York,2015 Q1
Northern York Regl Police Dept,284,271,95%,9542%,York,2015 Q1
Penn Township Police Dept,60,57,95%,9500%,York,2015 Q1
Southern Regional Police Dept,53,47,89%,8868%,York,2015 Q1
Southwestern Regl Police Dept,23,22,96%,9565%,York,2015 Q1
Spring Garden Township Police Dept,36,35,97%,9722%,York,2015 Q1
Springettsbury Township Police Dept,290,267,92%,9207%,York,2015 Q1
West Manchester Township Police Dept,150,136,91%,9067%,York,2015 Q1
West Manheim Township Police Dept,81,77,95%,9506%,York,2015 Q1
West York Boro Police Dept,75,71,95%,9467%,York,2015 Q1
Wrightsville Boro Police Dept,32,32,100%,10000%,York,2015 Q1
York Area Regional Police Dept,158,145,92%,9177%,York,2015 Q1
York City Police Dept,420,371,88%,8833%,York,2015 Q1
York County Sheriff,10,9,90%,9000%,York,2015 Q1
"York County, Detectives",10,9,90%,9000%,York,2015 Q1
