,,,,,,
52,Cambria,Adams Township Police Dept,27,27,0,100%
,Cambria,Ashville Boro Police Dept,1,1,0,100%
,Cambria,Blacklick Township Police Dept,8,8,0,100%
,Cambria,Cambria County DUI Task Force,9,8,1,89%
,Cambria,Cambria County Sheriff,50,45,5,90%
,Cambria,"Cambria County, Detectives",184,172,12,93%
,Cambria,Cambria Township Police Dept,173,152,21,88%
,Cambria,Carrolltown Boro Police Dept,27,25,2,93%
,Cambria,Conemaugh Township Police Dept,17,17,0,100%
,Cambria,Cresson Boro Police Dept,64,59,5,92%
,Cambria,Cresson Township Police Dept,69,66,3,96%
,Cambria,Croyle Township Police Dept,8,8,0,100%
,Cambria,Dale Boro Police Dept,32,24,8,75%
,Cambria,E Conemaugh Boro Police Dept,47,46,1,98%
,Cambria,East Taylor Township Police Dept,29,26,3,90%
,Cambria,Ebensburg Boro Police Dept,84,78,6,93%
,Cambria,Ferndale Boro Police Dept,31,26,5,84%
,Cambria,Gallitzin Boro Police Dept,33,30,3,91%
,Cambria,Gallitzin Township Pd Police Dept,3,3,0,100%
,Cambria,Geistown Boro Police Dept,18,15,3,83%
,Cambria,Hastings Boro Police Dept,38,35,3,92%
,Cambria,Jackson Township Police Dept,52,46,6,88%
,Cambria,Johnstown Police Dept,917,818,99,89%
,Cambria,Nanty Glo Boro Police Dept,34,32,2,94%
,Cambria,Northern Cambria Police Dept,93,88,5,95%
,Cambria,Paint Township Police Dept,1,0,1,0%
,Cambria,Patton Boro Police Dept,28,28,0,100%
,Cambria,Portage Boro Police Dept,23,22,1,96%
,Cambria,Richland Township Police Dept,528,440,88,83%
,Cambria,"St Francis, University PD",1,1,0,100%
,Cambria,South Fork Boro Police Dept,6,6,0,100%
,Cambria,Stonycreek Township Police Dept,37,27,10,73%
,Cambria,Summerhill Township Police Dept,21,21,0,100%
,Cambria,Univ Of Pittsburgh Police Dept,4,4,0,100%
,Cambria,Upper Yoder Township Police Dept,20,17,3,85%
,Cambria,West Hills Regional Police Dept,93,86,7,92%
,Cambria,Windber Boro Police Dept,10,8,2,80%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
